estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.011759317385533041,0.01099229470604653,0.012467012068044452,4.5566633008606505,4.5566633008606505,5964.507643185682,113,113,0.003099375004239846,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,822.0937575159726,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
ridge,0.011759301271886935,0.010992278235415407,0.01246699620434458,4.556663300860961,4.556663300860961,5964.507643185682,113,113,0.0016962910012807697,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,822.0937575159726,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.011759317385533045,0.01099229470604653,0.012467012068044458,4.556663300860651,4.556663300860651,5964.507643185682,113,113,0.001525958999991417,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,822.0937575159726,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.011759301271886935,0.010992278235415407,0.01246699620434458,4.556663300860961,4.556663300860961,5964.507643185682,113,113,0.0015840000050957315,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,822.0937575159726,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.0044543657225008864,0.00415195319502358,0.004732691831055299,4.745018753471181,4.745018753471181,5964.507643185682,113,113,0.009082124997803476,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,822.0937575159726,real_noise_sweep_0p0_seed101,real_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.04283663914889548,0.030866917285508944,0.051977988968666435,4.366481757359259,4.366481757359259,26826.923406028065,113,113,0.002342125000723172,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4022489325581,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
ridge,0.04272378238644214,0.03078681146690773,0.05184033925495439,4.366481763547243,4.366481763547243,26826.923406028065,113,113,0.0014775410018046387,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4022489325581,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.042836639148895496,0.030866917285508957,0.051977988968666455,4.36648175735926,4.36648175735926,26826.923406028065,113,113,0.0014638329957961105,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4022489325581,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.04272378238644214,0.03078681146690773,0.05184033925495439,4.366481763547243,4.366481763547243,26826.923406028065,113,113,0.001643249997869134,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4022489325581,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.01585697594356514,0.01192387144581767,0.01894179855486005,4.616828996924877,4.616828996924877,26826.923406028065,113,113,0.011778041000070516,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4022489325581,real_noise_sweep_0p0_seed202,real_noise_sweep,scenario.noise_std,0.0,202
pseudoinverse,0.0016066297048241483,0.0016718674234162461,0.0015398472799014243,4.931532094708348,4.931532094708348,1056.5220868737515,113,113,0.002314792000106536,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.921929216023,real_noise_sweep_0p0_seed303,real_noise_sweep,scenario.noise_std,0.0,303
ridge,0.0016066265966840755,0.0016718642027196485,0.0015398442863958986,4.931532094708353,4.931532094708353,1056.5220868737515,113,113,0.001687249998212792,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.921929216023,real_noise_sweep_0p0_seed303,real_noise_sweep,scenario.noise_std,0.0,303
truncated_svd,0.0016066297048241485,0.0016718674234162472,0.0015398472799014237,4.931532094708347,4.931532094708347,1056.5220868737515,113,113,0.0015314580014091916,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.921929216023,real_noise_sweep_0p0_seed303,real_noise_sweep,scenario.noise_std,0.0,303
qsvt_regularized,0.0016066265966840755,0.0016718642027196485,0.0015398442863958986,4.931532094708353,4.931532094708353,1056.5220868737515,113,113,0.0014907090007909574,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.921929216023,real_noise_sweep_0p0_seed303,real_noise_sweep,scenario.noise_std,0.0,303
huber_irls,0.0012838298323536734,0.0011882741086163672,0.0013712397472962722,4.96557161732993,4.96557161732993,1056.5220868737515,113,113,0.0066438750000088476,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.921929216023,real_noise_sweep_0p0_seed303,real_noise_sweep,scenario.noise_std,0.0,303
pseudoinverse,0.0032905783688801124,0.0038592339278058674,0.002614087790520479,4.959108120849054,4.959108120849054,2964.864251433801,113,113,0.002599333005491644,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.3290737496396,real_noise_sweep_0p0_seed404,real_noise_sweep,scenario.noise_std,0.0,404
ridge,0.003290573727857073,0.003859231128399942,0.0026140802692118715,4.959108120849073,4.959108120849073,2964.864251433801,113,113,0.0015850000054342672,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.3290737496396,real_noise_sweep_0p0_seed404,real_noise_sweep,scenario.noise_std,0.0,404
truncated_svd,0.0032905783688801133,0.003859233927805869,0.0026140877905204787,4.959108120849055,4.959108120849055,2964.864251433801,113,113,0.0016954169987002388,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.3290737496396,real_noise_sweep_0p0_seed404,real_noise_sweep,scenario.noise_std,0.0,404
qsvt_regularized,0.003290573727857073,0.003859231128399942,0.0026140802692118715,4.959108120849073,4.959108120849073,2964.864251433801,113,113,0.0016438750026281923,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.3290737496396,real_noise_sweep_0p0_seed404,real_noise_sweep,scenario.noise_std,0.0,404
huber_irls,0.0008596257432789226,0.0008364426925156479,0.0008818087286245127,4.98874179758502,4.98874179758502,2964.864251433801,113,113,0.00663837500178488,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,831.3290737496396,real_noise_sweep_0p0_seed404,real_noise_sweep,scenario.noise_std,0.0,404
pseudoinverse,0.0173956626034927,0.01732421855667161,0.01746556864749596,4.764145739543984,4.764145739543984,9123.94869421741,113,113,0.0025495419977232814,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,821.7656523309593,real_noise_sweep_0p0_seed505,real_noise_sweep,scenario.noise_std,0.0,505
ridge,0.017395595735713594,0.017324185071533285,0.017465469247014507,4.7641457395453815,4.7641457395453815,9123.94869421741,113,113,0.0016706670066923834,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,821.7656523309593,real_noise_sweep_0p0_seed505,real_noise_sweep,scenario.noise_std,0.0,505
truncated_svd,0.017395662603492706,0.017324218556671614,0.01746556864749597,4.764145739543984,4.764145739543984,9123.94869421741,113,113,0.0016243749996647239,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,821.7656523309593,real_noise_sweep_0p0_seed505,real_noise_sweep,scenario.noise_std,0.0,505
qsvt_regularized,0.017395595735713594,0.017324185071533285,0.017465469247014507,4.7641457395453815,4.7641457395453815,9123.94869421741,113,113,0.0015306670029531233,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,821.7656523309593,real_noise_sweep_0p0_seed505,real_noise_sweep,scenario.noise_std,0.0,505
huber_irls,0.005989959072678047,0.006066365081550687,0.0059139322838258745,4.875308017634958,4.875308017634958,9123.94869421741,113,113,0.008876290994521696,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,821.7656523309593,real_noise_sweep_0p0_seed505,real_noise_sweep,scenario.noise_std,0.0,505
pseudoinverse,0.0201722662072777,0.013591651538620762,0.025004192307531165,4.43101051127779,4.43101051127779,5808.7025920039205,113,113,0.002379916993959341,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,830.5522444502894,real_noise_sweep_0p0_seed606,real_noise_sweep,scenario.noise_std,0.0,606
ridge,0.02017048266335788,0.01358974853594889,0.025002356048100232,4.4310105113234854,4.4310105113234854,5808.7025920039205,113,113,0.0015521250024903566,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,830.5522444502894,real_noise_sweep_0p0_seed606,real_noise_sweep,scenario.noise_std,0.0,606
truncated_svd,0.0201722662072777,0.013591651538620762,0.025004192307531165,4.43101051127779,4.43101051127779,5808.7025920039205,113,113,0.0015339169985963963,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,830.5522444502894,real_noise_sweep_0p0_seed606,real_noise_sweep,scenario.noise_std,0.0,606
qsvt_regularized,0.02017048266335788,0.01358974853594889,0.025002356048100232,4.4310105113234854,4.4310105113234854,5808.7025920039205,113,113,0.0016132919990923256,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,830.5522444502894,real_noise_sweep_0p0_seed606,real_noise_sweep,scenario.noise_std,0.0,606
huber_irls,0.00777733143339335,0.005214190334349742,0.009654107561587163,4.658445099073255,4.658445099073255,5808.7025920039205,113,113,0.010378457998740487,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,830.5522444502894,real_noise_sweep_0p0_seed606,real_noise_sweep,scenario.noise_std,0.0,606
pseudoinverse,0.0024173944888454574,0.0023067849749380883,0.002521342490523293,4.939717000064886,4.939717000064886,1422.2095988352255,113,113,0.0023612500008312054,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,829.6004717151483,real_noise_sweep_0p0_seed707,real_noise_sweep,scenario.noise_std,0.0,707
ridge,0.0024173868118619814,0.0023067779708825665,0.002521334194302306,4.939717000064915,4.939717000064915,1422.2095988352255,113,113,0.0015799579996382818,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,829.6004717151483,real_noise_sweep_0p0_seed707,real_noise_sweep,scenario.noise_std,0.0,707
truncated_svd,0.0024173944888454587,0.0023067849749380896,0.002521342490523295,4.939717000064887,4.939717000064887,1422.2095988352255,113,113,0.0014997499965829775,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,829.6004717151483,real_noise_sweep_0p0_seed707,real_noise_sweep,scenario.noise_std,0.0,707
qsvt_regularized,0.0024173868118619814,0.0023067779708825665,0.002521334194302306,4.939717000064915,4.939717000064915,1422.2095988352255,113,113,0.0015126250000321306,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,829.6004717151483,real_noise_sweep_0p0_seed707,real_noise_sweep,scenario.noise_std,0.0,707
huber_irls,0.0015278390231628477,0.0014397130297351967,0.0016097274645194555,4.975050468470296,4.975050468470296,1422.2095988352255,113,113,0.006561165995663032,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,829.6004717151483,real_noise_sweep_0p0_seed707,real_noise_sweep,scenario.noise_std,0.0,707
pseudoinverse,0.02075439819872512,0.015087557404008916,0.025105623989817544,4.224060361842527,4.224060361842527,17122.10462703967,113,113,0.0022815830016043037,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4100780527194,real_noise_sweep_0p0_seed808,real_noise_sweep,scenario.noise_std,0.0,808
ridge,0.020753853690307696,0.015087112175018486,0.025104994487042866,4.224060361856176,4.224060361856176,17122.10462703967,113,113,0.0016455830045742914,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4100780527194,real_noise_sweep_0p0_seed808,real_noise_sweep,scenario.noise_std,0.0,808
truncated_svd,0.020754398198725123,0.01508755740400892,0.025105623989817548,4.224060361842528,4.224060361842528,17122.10462703967,113,113,0.0015557910010102205,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4100780527194,real_noise_sweep_0p0_seed808,real_noise_sweep,scenario.noise_std,0.0,808
qsvt_regularized,0.020753853690307696,0.015087112175018486,0.025104994487042866,4.224060361856176,4.224060361856176,17122.10462703967,113,113,0.0014750409973203205,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4100780527194,real_noise_sweep_0p0_seed808,real_noise_sweep,scenario.noise_std,0.0,808
huber_irls,0.008436895293480566,0.006168876386802987,0.010184606408598511,4.503105394938393,4.503105394938393,17122.10462703967,113,113,0.010913167003309354,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,837.4100780527194,real_noise_sweep_0p0_seed808,real_noise_sweep,scenario.noise_std,0.0,808
pseudoinverse,0.05961104432588216,0.052410660737055505,0.06592362996962597,0.48049155164813123,0.48049155164813123,12070.257778093674,113,113,0.002419791002466809,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,840.4477251614547,real_noise_sweep_0p0_seed909,real_noise_sweep,scenario.noise_std,0.0,909
ridge,0.05961092854381153,0.0524105511042851,0.06592350804711757,0.480491551730826,0.480491551730826,12070.257778093674,113,113,0.0014499999961117283,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,840.4477251614547,real_noise_sweep_0p0_seed909,real_noise_sweep,scenario.noise_std,0.0,909
truncated_svd,0.05961104432588216,0.052410660737055505,0.06592362996962597,0.48049155164813123,0.48049155164813123,12070.257778093674,113,113,0.0015877499972702935,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,840.4477251614547,real_noise_sweep_0p0_seed909,real_noise_sweep,scenario.noise_std,0.0,909
qsvt_regularized,0.05961092854381153,0.0524105511042851,0.06592350804711757,0.480491551730826,0.480491551730826,12070.257778093674,113,113,0.0014825830003246665,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,840.4477251614547,real_noise_sweep_0p0_seed909,real_noise_sweep,scenario.noise_std,0.0,909
huber_irls,0.0596110443258822,0.052410660737055546,0.06592362996962602,0.48049155164813023,0.48049155164813023,12070.257778093674,113,113,0.002479084003425669,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,840.4477251614547,real_noise_sweep_0p0_seed909,real_noise_sweep,scenario.noise_std,0.0,909
pseudoinverse,0.015597580420774684,0.01337770484417827,0.017506501512466268,3.4566217468056077,3.4566217468056077,841.4018485778772,113,113,0.002307458002178464,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,835.0846852769345,real_noise_sweep_0p0_seed1001,real_noise_sweep,scenario.noise_std,0.0,1001
ridge,0.015597572201535768,0.013377695486055463,0.017506494020536965,3.456621746805807,3.456621746805807,841.4018485778772,113,113,0.0014735419972566888,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,835.0846852769345,real_noise_sweep_0p0_seed1001,real_noise_sweep,scenario.noise_std,0.0,1001
truncated_svd,0.015597580420774707,0.01337770484417831,0.017506501512466282,3.4566217468056077,3.4566217468056077,841.4018485778772,113,113,0.001600458999746479,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,835.0846852769345,real_noise_sweep_0p0_seed1001,real_noise_sweep,scenario.noise_std,0.0,1001
qsvt_regularized,0.015597572201535768,0.013377695486055463,0.017506494020536965,3.456621746805807,3.456621746805807,841.4018485778772,113,113,0.0014821250006207265,True,False,,ieee57,pypower,pypower.case57.case57,True,ac_power_flow_linearized,175,113,real_ieee57_ac_linearized,0.0,0.1,0.05,1,5.0,weak_area,,835.0846852769345,real_noise_sweep_0p0_seed1001,real_noise_sweep,scenario.noise_std,0.0,1001
