workload_id,representative_run_id,case_name,block_size,block_kind,kappa,lambda,alpha,degree,phase_count,postselection_probability_statevector,functional_count_q,reference_shot_budget,signal_unitary_calls_per_attempt,phase_operations_per_attempt,alternating_sequence_length_per_attempt,expected_attempts_modeled,prep_repetitions_modeled,readout_repetitions_modeled,signal_unitary_calls_modeled,readout_status,readout_shots_measured,readout_mean_relative_error_measured,shots_to_target_error_nhalf_extrapolation_modeled,signal_unitary_calls_at_extrapolated_budget_modeled,target_relative_error,amplitude_estimation_status,classical_adjoint_median_seconds_measured,classical_adjoint_value_fresh,classical_adjoint_value_recorded_phase2,classical_adjoint_value_rel_diff,classical_direct_median_seconds_measured,classical_adjoint_vs_direct_abs_diff,units_note,interpretation,block_checksum_recorded,block_checksum_rebuilt,residual_checksum_recorded,residual_checksum_rebuilt
ieee14_4x4_primary_anchor,anchor_4x4_benchmark_alpha_d31,ieee14,4,raw_ieee_derived_selected_block,7.612879007904524,0.0690179628144546,366448.364834772,31,32,0.9903957148614684,1,100000.0,31,32,63,100969.74219439903,100969.74219439903,100969.74219439903,3130062.00802637,measured,100000.0,0.0185380841444603,343660.5637470904,10756788.742416922,0.01,modeled_only_not_executed,9.916489943861961e-06,-0.004259018143057703,-0.0042590181430577,6.109589409020647e-16,9.916024282574654e-06,3.469446951953614e-18,"quantum side: repetition and signal-unitary-call counts with T_U modeled unless compiled; classical side: wall-clock seconds; different units, never merged",primary correctness anchor,cdb5eaf8f1cb8a61d25e0a6246bc80a0,cdb5eaf8f1cb8a61d25e0a6246bc80a0,not_recorded,5f38fd75295a6b168411a7db6f6f4e2c
ieee14_8x8_lambda_matched_anchor,8x8_codesigned_lambda_matched_d31,ieee14,8,raw_ieee_derived_selected_block,132.83928362164585,0.0690179628144546,507204.4756358543,31,32,0.9519140790609424,1,100000.0,31,32,63,105051.49802873953,105051.49802873953,105051.49802873953,3256596.4388909256,measured,100000.0,0.0124772089423538,155680.74299115362,5069893.532288843,0.01,modeled_only_not_executed,1.0666553862392902e-05,0.003937581251108951,0.0039375812511089,1.299639024005006e-14,1.06250518001616e-05,8.673617379884035e-19,"quantum side: repetition and signal-unitary-call counts with T_U modeled unless compiled; classical side: wall-clock seconds; different units, never merged",secondary anchor,c5027daaefc0c0c2eb6117a0e1bd1194,c5027daaefc0c0c2eb6117a0e1bd1194,9de39f6071024f5c884183271791e2c5,9de39f6071024f5c884183271791e2c5
ieee14_8x8_condition_controlled_k1e4,phase2_ieee14_8x8_condition_controlled_k1e4_lambda0.069_dmax45,ieee14,8,ieee_derived_condition_controlled_stress_block,10000.00000000009,0.069,507072.469133275,25,26,0.8482704444533998,1,100000.0,25,26,51,117886.93176082188,117886.93176082188,117886.93176082188,2947173.294020547,measured,100000.0,0.15443979213774237,23851649.39554907,702949441.1690354,0.01,modeled_only_not_executed,1.0624993592500687e-05,0.0005842170740965107,0.0005842170740965107,0.0,1.0604038834571838e-05,0.0,"quantum side: repetition and signal-unitary-call counts with T_U modeled unless compiled; classical side: wall-clock seconds; different units, never merged",smooth-lambda stress row; measured readout-limited,00e8e0416d519959bf382fa3e8cd33a3,00e8e0416d519959bf382fa3e8cd33a3,9de39f6071024f5c884183271791e2c5,9de39f6071024f5c884183271791e2c5
ieee30_16x16_raw,phase2_ieee30_16x16_raw_lambda0.069_dmax45,ieee30,16,raw_ieee_derived_selected_block,87.89749014434929,0.069,1476382.377957815,25,26,0.8532761303549481,1,100000.0,25,26,51,117195.35616026401,117195.35616026401,117195.35616026401,2929883.9040066004,not_measured,,,,,0.01,modeled_only_not_executed,1.4458433724939823e-05,0.00042372398611563845,0.00042372398611563845,0.0,1.4583463780581951e-05,0.0,"quantum side: repetition and signal-unitary-call counts with T_U modeled unless compiled; classical side: wall-clock seconds; different units, never merged","strongest IEEE-derived selected-block success; selected-block assumptions, not IEEE-scale sparse block-encoded execution",07a4ffdc507fe0711e91c87bfe497135,07a4ffdc507fe0711e91c87bfe497135,55aadb52987463e7aaa88165721655dc,55aadb52987463e7aaa88165721655dc
