estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.019496123748413578,0.025634126538024868,0.010598249500015313,3.552553849725752,3.552553849725752,492.9314036325667,59,59,0.3162712499979534,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,492.9314036325667,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
ridge,0.019496123748411795,0.025634126538022065,0.010598249500015415,3.5525538497257534,3.5525538497257534,492.9314036325386,59,59,0.2788631249932223,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,492.9314036325386,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.019496123748413544,0.02563412653802481,0.010598249500015318,3.552553849725752,3.552553849725752,492.9314036325719,59,59,0.2814828749978915,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,492.9314036325719,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.019496123748411795,0.025634126538022065,0.010598249500015415,3.5525538497257534,3.5525538497257534,492.9314036325386,59,59,0.27531337500113295,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,492.9314036325386,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.011441405545819388,0.014885748584142856,0.006576372035733867,3.8360533708674818,3.8360533708674818,486.18742046739084,59,59,0.26398695800162386,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,486.18742046739084,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.034324751223928925,0.04634975978611333,0.015505286747654964,3.384150885809544,3.384150885809544,539.7241886223239,59,59,0.33577408400014974,7,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,539.7241886223239,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
ridge,0.03432475122392941,0.046349759786115406,0.01550528674765111,3.3841508858095457,3.3841508858095457,539.7241886224549,59,59,0.3213048340039677,7,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,539.7241886224549,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.03432475122392896,0.0463497597861134,0.015505286747654917,3.384150885809547,3.384150885809547,539.7241886223253,59,59,0.3170853750052629,7,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,539.7241886223253,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.03432475122392941,0.046349759786115406,0.01550528674765111,3.3841508858095457,3.3841508858095457,539.7241886224549,59,59,0.32355495799856726,7,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,539.7241886224549,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.022929604614084446,0.031054885139615473,0.010087068384371704,3.6205795002397316,3.6205795002397316,553.5699112029037,59,59,0.3135208750027232,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,553.5699112029037,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
pseudoinverse,0.026413615197509795,0.03628639820082974,0.009964414789705228,4.283832756907797,4.283832756907797,509.2403473918887,59,59,0.28223479200096335,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,509.2403473918887,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
ridge,0.026413615197513247,0.03628639820083556,0.009964414789702714,4.283832756907798,4.283832756907798,509.2403473920727,59,59,0.28141291700012516,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,509.2403473920727,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
truncated_svd,0.026413615197509774,0.036286398200829705,0.009964414789705256,4.283832756907796,4.283832756907796,509.24034739189165,59,59,0.2814370419946499,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,509.24034739189165,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
qsvt_regularized,0.026413615197513247,0.03628639820083556,0.009964414789702714,4.283832756907798,4.283832756907798,509.2403473920727,59,59,0.28029254200373543,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,509.2403473920727,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
huber_irls,0.010915696854975836,0.01503344657291032,0.003982724661995898,4.544097686888729,4.544097686888729,510.49890171975625,59,59,0.2581786660011858,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,510.49890171975625,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
pseudoinverse,0.016452085196874775,0.021972295520552753,0.008101283826974108,4.128053009057134,4.128053009057134,485.37084321208744,59,59,0.28469629200117197,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,485.37084321208744,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
ridge,0.01645208519685816,0.02197229552053059,0.00810128382696585,4.128053009057136,4.128053009057136,485.3708432121478,59,59,0.2842137499974342,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,485.3708432121478,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
truncated_svd,0.01645208519687476,0.02197229552055274,0.008101283826974094,4.128053009057135,4.128053009057135,485.37084321208766,59,59,0.2834389999989071,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,485.37084321208766,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
qsvt_regularized,0.01645208519685816,0.02197229552053059,0.00810128382696585,4.128053009057136,4.128053009057136,485.3708432121478,59,59,0.3209859580019838,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,485.3708432121478,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
huber_irls,0.006908696125770491,0.009160985081024229,0.0035697295198573453,4.435657392635248,4.435657392635248,487.35402627769616,59,59,0.30810429199482314,6,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,487.35402627769616,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
pseudoinverse,0.024944025488944834,0.03367862200318256,0.011279512736270017,4.313990004679471,4.313990004679471,499.0320149964706,59,59,0.24246566699730465,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,499.0320149964706,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
ridge,0.024944025488926956,0.0336786220031549,0.0112795127362721,4.313990004679469,4.313990004679469,499.0320149960795,59,59,0.24394104100065306,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,499.0320149960795,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
truncated_svd,0.02494402548894488,0.03367862200318261,0.011279512736270043,4.313990004679471,4.313990004679471,499.0320149964686,59,59,0.23369812500459375,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,499.0320149964686,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
qsvt_regularized,0.024944025488926956,0.0336786220031549,0.0112795127362721,4.313990004679469,4.313990004679469,499.0320149960795,59,59,0.23349712499475572,5,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,499.0320149960795,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
huber_irls,0.010063643793451291,0.01360306978927044,0.004505836713366602,4.569003654831871,4.569003654831871,493.8628786723081,59,59,0.2164754580007866,4,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,493.8628786723081,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
pseudoinverse,0.02646757393078598,0.008006295077491506,0.03627326547745948,4.113601295840615,4.113601295840615,497.56756468559206,59,59,0.3732491659975494,8,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,497.56756468559206,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
ridge,0.026467573930788788,0.008006295077492176,0.03627326547746336,4.113601295840616,4.113601295840616,497.56756468564186,59,59,0.43170170800294727,8,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,497.56756468564186,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
truncated_svd,0.02646757393078598,0.008006295077491518,0.03627326547745948,4.113601295840617,4.113601295840617,497.56756468559195,59,59,0.40558687500015367,8,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,497.56756468559195,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
qsvt_regularized,0.026467573930788788,0.008006295077492176,0.03627326547746336,4.113601295840616,4.113601295840616,497.56756468564186,59,59,0.38683537500037346,8,True,False,,ieee30,pypower,pypower.case30.case30,True,nonlinear_ac_state_estimation,155,59,nonlinear_ac_ieee30,0.0,0.1,0.05,1,5.0,weak_area,,497.56756468564186,nonlinear_noise_sweep_0p0_seed606,nonlinear_noise_sweep,scenario.noise_std,0.0,606
