workload_id,functional_id,shots,seed_count,mean_selected_output,statevector_reference,quantized_ridge_reference,mean_absolute_error_vs_statevector,max_absolute_error_vs_statevector,rmse_vs_statevector,empirical_seed_variance,empirical_seed_standard_deviation,standard_error_of_seed_mean,mean_analytic_variance_estimate,mean_statevector_expected_variance,mean_estimated_postselection_probability,total_postselection_accepted_shots,total_interference_branch_accepted_shots,relative_error_stable_seed_count,absolute_error_is_primary_metric,finite_shot_executed
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,10000,10,-9.523715587306978e-05,-9.46764838959202e-05,-9.467648354949875e-05,7.365149820300789e-06,1.774602155785144e-05,9.259813476043165e-06,9.492199171683304e-11,9.742791782483758e-06,3.0809412801420447e-06,1.3001275797017008e-10,1.2991816181117725e-10,0.45358,45358,72747,10,True,True
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,100000,10,-9.360984681441316e-05,-9.46764838959202e-05,-9.467648354949875e-05,2.6828859742752776e-06,7.904554865491198e-06,3.381731412303992e-06,1.1442658534797488e-11,3.3826998883728197e-06,1.0697036288055435e-06,1.299158391682562e-11,1.2991816181117724e-11,0.453993,453993,726719,10,True,True
ieee30_sparse_quantized_8x8_d31_selected_v1,branch_angle_diff_4_6,1000000,10,-9.440606109826535e-05,-9.46764838959202e-05,-9.467648354949875e-05,5.488311095601196e-07,1.3429978944363557e-06,6.728169461340613e-07,4.2172683723744074e-13,6.49404987074661e-07,2.053598883028136e-07,1.2991440539643521e-12,1.2991816181117724e-12,0.4538072999999999,4538073,7267887,10,True,True
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,10000,10,-2.504687561839996e-05,-2.4590559001044052e-05,-2.459055891093946e-05,7.051187977672973e-06,1.89560181549123e-05,9.026577134764209e-06,9.030096657174762e-11,9.50268207253866e-06,3.0050119229671552e-06,1.3065587592638174e-10,1.3075405591226207e-10,0.45358,45358,72635,0,True,True
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,100000,10,-2.3462496394761484e-05,-2.4590559001044052e-05,-2.459055891093946e-05,2.826586476360856e-06,9.55170117124954e-06,3.906331971896873e-06,1.5541004701078544e-11,3.942208099666803e-06,1.246635660531117e-06,1.3068918769620202e-11,1.3075405591226207e-11,0.453993,453993,726455,10,True,True
ieee30_sparse_quantized_8x8_d31_selected_v1,coordinate_angle_bus4,1000000,10,-2.4358656700765293e-05,-2.4590559001044052e-05,-2.459055891093946e-05,6.702420492208145e-07,1.9772684052352818e-06,8.374030166518949e-07,7.194057060256843e-13,8.48177874048648e-07,2.682173942953149e-07,1.3074159721127733e-12,1.3075405591226204e-12,0.4538072999999999,4538073,7267626,10,True,True
