scaling_factor,level,workload_id,matrix_shape,matrix_hash,support_hash,support_count,slot_count,value_magnitude_bits,qsvt_degree,evidence_status,statevector_executed,finite_shot_executed,transpiled,analytically_modeled,source,failure_code,failure_reason,workload_digest,total_simultaneously_live_qubits,register_breakdown_json,transpiled_gate_count,transpiled_depth,toffoli_count,controlled_rotation_count,one_qubit_gate_count,two_qubit_gate_count,multi_qubit_gate_count,qsvt_signal_calls,phase_operations,residual_loader_operations,functional_loader_operations,lookup_operations,postselection_flag_operations,postselection_measurements,readout_measurements,transpiler_basis,optimization_level,seed_transpiler,opaque_instructions_remain,matrix_quantization_relative_error,selected_output_quantization_absolute_error,selected_output_quantized_ridge,selected_output_exact_supported_ridge
value_precision,4,ieee14_sparse_quantized_8x8_b4_d31_scaling_v1,8x8,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,16,3,4,31,transpiled only,False,False,True,False,frozen canonical matrix and support,,,18cd16332846cd4d8fbfda2f9aefe756ae583074f9f43bff3a3873fa2a82ee8d,8,"{""index"": 3, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",186191,180380,51898,744,47265,86993,51931,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False,0.025804446996278336,2.227462299023023e-05,0.0024857665031476897,0.0024634918801574594
value_precision,6,ieee14_sparse_quantized_8x8_d31_selected_v1,8x8,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,16,3,6,31,statevector and finite-shot executed,True,True,True,False,frozen canonical matrix and support,,,17eaef9e9cd3201ab392a049a1c0d74c96f09c2a1e20590594db6c984b2dcf27,8,"{""index"": 3, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",186191,180380,51898,744,47265,86993,51931,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False,0.006241852663669321,8.223143714233133e-06,0.0024717150238716926,0.0024634918801574594
value_precision,8,ieee14_sparse_quantized_8x8_b8_d31_scaling_v1,8x8,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,16,3,8,31,transpiled only,False,False,True,False,frozen canonical matrix and support,,,3eb18e66e169e991940f57099ee658072467f7e8a03e8b89c482368759f7c19d,8,"{""index"": 3, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",186191,180380,51898,744,47265,86993,51931,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False,0.001383275157555314,3.020472116559668e-06,0.0024604714080408998,0.0024634918801574594
