scaling_factor,level,workload_id,matrix_shape,matrix_hash,support_hash,support_count,slot_count,value_magnitude_bits,qsvt_degree,evidence_status,statevector_executed,finite_shot_executed,transpiled,analytically_modeled,source,failure_code,failure_reason,workload_digest,total_simultaneously_live_qubits,register_breakdown_json,transpiled_gate_count,transpiled_depth,toffoli_count,controlled_rotation_count,one_qubit_gate_count,two_qubit_gate_count,multi_qubit_gate_count,qsvt_signal_calls,phase_operations,residual_loader_operations,functional_loader_operations,lookup_operations,postselection_flag_operations,postselection_measurements,readout_measurements,transpiler_basis,optimization_level,seed_transpiler,opaque_instructions_remain
dimension,4,ieee14_sparse_quantized_4x4_d31_scaling_anchor_v1,4x4,59ce4782f63e95ef9c64b3168a137d21ea71a2f280dc33c57883883f7d7b7acb,d873f35a9fafecfe86de291185b3e58d5d2a86b42c51532559ec04cc9e9e8bf7,12,3,6,31,statevector executed,True,False,True,False,outputs/ieee_qsvt_pipeline_boundary/selected_block_ieee14_4x4.npy,,,d1c22bdf1bb81cce7e8e6ae0c1d3dcb53a9aeb7817fff8e6a65345dd5b1e84ff,7,"{""index"": 2, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",60587,59922,13889,372,20481,26182,13922,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False
dimension,8,ieee14_sparse_quantized_8x8_d31_selected_v1,8x8,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,af1a0f82f3c62e482452f92cdc7bad8903af75dc809e481dc8fb6a34ec38b7fd,16,3,6,31,statevector and finite-shot executed,True,True,True,False,ieee14_pypower_ac_weighted_jacobian,,,17eaef9e9cd3201ab392a049a1c0d74c96f09c2a1e20590594db6c984b2dcf27,8,"{""index"": 3, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",186191,180380,51898,744,47265,86993,51931,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False
dimension,16,ieee14_sparse_quantized_16x16_d31_scaling_v1,16x16,ae9bc4a7afc6cb4e459ebf01d22d6d21fe1283ed21c0394f57cfc34b4141b4f1,a6040d9495dc2a3c4d87778b2c70b9778d747a55881b570c7260852b3269fdbd,16,3,6,31,transpiled only,False,False,True,False,outputs/cross_case_larger_block_validation/larger_block_16x16/block_inventory.json,,,9b0dc9d3795f5c565c254725a5a796f3ab5509b047b6c590e5a10e01a62afa10,9,"{""index"": 4, ""postselection_flag"": 1, ""rotation_ancilla"": 1, ""signed_readout"": 1, ""slot"": 2}",478753,459084,145773,1488,103065,229880,145806,31,32,1,1,31,8,1,1,"""qiskit_aer_statevector_default_target""",0,,False
