sweep_name,sweep_parameter,sweep_value,estimator,n_trials,n_successful_trials,n_failed_trials,failed_count,failure_rate,rmse_mean,rmse_std,rmse_median,rmse_q1,rmse_q3,rmse_iqr,rmse_ci95_low,rmse_ci95_high,angle_rmse_mean,angle_rmse_std,angle_rmse_median,angle_rmse_q1,angle_rmse_q3,angle_rmse_iqr,angle_rmse_ci95_low,angle_rmse_ci95_high,voltage_magnitude_rmse_mean,voltage_magnitude_rmse_std,voltage_magnitude_rmse_median,voltage_magnitude_rmse_q1,voltage_magnitude_rmse_q3,voltage_magnitude_rmse_iqr,voltage_magnitude_rmse_ci95_low,voltage_magnitude_rmse_ci95_high,residual_norm_mean,residual_norm_std,residual_norm_median,residual_norm_q1,residual_norm_q3,residual_norm_iqr,residual_norm_ci95_low,residual_norm_ci95_high,weighted_residual_mean,weighted_residual_std,weighted_residual_median,weighted_residual_q1,weighted_residual_q3,weighted_residual_iqr,weighted_residual_ci95_low,weighted_residual_ci95_high,condition_number_mean,condition_number_std,condition_number_median,condition_number_q1,condition_number_q3,condition_number_iqr,condition_number_ci95_low,condition_number_ci95_high,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_q1,runtime_seconds_q3,runtime_seconds_iqr,runtime_seconds_ci95_low,runtime_seconds_ci95_high,iterations_mean,iterations_std,iterations_median,iterations_q1,iterations_q3,iterations_iqr,iterations_ci95_low,iterations_ci95_high
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,huber_irls,10,10,0,0,0.0,0.001817267060477297,0.0005227399204605534,0.0017875889588895642,0.0014166085967418944,0.0019797334978072234,0.000563124901065329,0.0014932695010573787,0.0021412646198972155,0.002412258244439078,0.0006883385166270089,0.0024565763214652687,0.0019217345586016723,0.002721845839264682,0.0008001112806630098,0.001985621611741524,0.0028388948771366318,0.0008542502427187097,0.0003809485790776821,0.000742458246204652,0.0005856742579109846,0.0009007341192228471,0.00031505986131186256,0.0006181358671858224,0.001090364618251597,3.8652878708635128,0.12069802595374413,3.8108461144838124,3.7937503115514977,3.9496079654303218,0.1558576538788241,3.790478459327923,3.9400972823991025,3.8652878708635128,0.12069802595374413,3.8108461144838124,3.7937503115514977,3.9496079654303218,0.1558576538788241,3.790478459327923,3.9400972823991025,208505.6464363742,52665.49080009844,181562.18167801428,179584.74989649246,206896.53636132827,27311.786464835808,175863.2370526591,241148.0558200893,103.3338510626003,15.964312833249664,99.57791387500038,91.98931575024653,120.16837501050213,28.1790592602556,93.43906745542544,113.22863466977516,6.8,1.1352924243950935,6.5,6.0,8.0,2.0,6.096338465201091,7.503661534798908
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,pseudoinverse,10,10,0,0,0.0,0.0018172705961116069,0.0005227369694668442,0.0017875889616346054,0.0014166085966061156,0.001979733475364606,0.0005631248787584906,0.001493274865736539,0.0021412663264866747,0.0024122634769674833,0.0006883336332157724,0.0024565763254682862,0.0019217345584002258,0.002721845806887625,0.0008001112484873991,0.001985629871039572,0.0028388970828953945,0.000854250870611804,0.0003809484495879144,0.0007424613876893891,0.0005856742578541294,0.0009007341192347518,0.00031505986138062234,0.0006181365753375062,0.0010903651658861018,3.865287870232641,0.12069802518177944,3.810846114483904,3.7937503115513582,3.9496079654304226,0.15585765387906436,3.7904784591755196,3.9400972812897623,3.865287870232641,0.12069802518177944,3.810846114483904,3.7937503115513582,3.9496079654304226,0.15585765387906436,3.7904784591755196,3.9400972812897623,208505.23230009983,52665.143962187474,181562.18167892337,179584.7498979428,206896.53554031672,27311.78564237393,175863.03788874912,241147.42671145053,104.10683785850051,16.73567551883618,104.94586620799964,91.57095888574986,119.77220177125128,28.201242885501415,93.73395870557619,114.47971701142484,6.9,1.1972189997378646,7.0,6.0,8.0,2.0,6.157955976148765,7.642044023851236
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,qsvt_regularized,10,10,0,0,0.0,0.0018172753948439032,0.0005227316332253649,0.0017875889615580629,0.001416608596604267,0.0019797334755822554,0.0005631248789779884,0.0014932829719055702,0.002141267817782236,0.002412270555522715,0.0006883249782186207,0.002456576325356093,0.001921734558397433,0.0027218458071987315,0.0008001112488012986,0.0019856423140176154,0.0028388987970278143,0.0008542517953307006,0.00038094826001524603,0.0007424660112758043,0.0005856742578552855,0.0009007341192373311,0.0003150598613820456,0.00061813761755476,0.001090365973106641,3.8652878693043293,0.12069802404593247,3.8108461144836916,3.7937503115520546,3.9496079654301224,0.15585765387806783,3.7904784589512133,3.9400972796574454,3.8652878693043293,0.12069802404593247,3.8108461144836916,3.7937503115520546,3.9496079654301224,0.15585765387806783,3.7904784589512133,3.9400972796574454,208504.73333956164,52664.726004209355,181562.1816788655,179584.7498979243,206896.53554178495,27311.78564386064,175862.79798124966,241146.66869787363,103.82639989570161,16.877880434055772,105.25097370799995,91.15585722900323,119.36526710375256,28.209409874749326,93.36538122317053,114.2874185682327,6.9,1.1972189997378646,7.0,6.0,8.0,2.0,6.157955976148765,7.642044023851236
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,ridge,10,10,0,0,0.0,0.0018172753948439032,0.0005227316332253649,0.0017875889615580629,0.001416608596604267,0.0019797334755822554,0.0005631248789779884,0.0014932829719055702,0.002141267817782236,0.002412270555522715,0.0006883249782186207,0.002456576325356093,0.001921734558397433,0.0027218458071987315,0.0008001112488012986,0.0019856423140176154,0.0028388987970278143,0.0008542517953307006,0.00038094826001524603,0.0007424660112758043,0.0005856742578552855,0.0009007341192373311,0.0003150598613820456,0.00061813761755476,0.001090365973106641,3.8652878693043293,0.12069802404593247,3.8108461144836916,3.7937503115520546,3.9496079654301224,0.15585765387806783,3.7904784589512133,3.9400972796574454,3.8652878693043293,0.12069802404593247,3.8108461144836916,3.7937503115520546,3.9496079654301224,0.15585765387806783,3.7904784589512133,3.9400972796574454,208504.73333956164,52664.726004209355,181562.1816788655,179584.7498979243,206896.53554178495,27311.78564386064,175862.79798124966,241146.66869787363,103.80733033329889,16.90299011715722,105.30011614549949,91.106086177002,119.33605604149852,28.229969864496525,93.3307485179424,114.28391214865539,6.9,1.1972189997378646,7.0,6.0,8.0,2.0,6.157955976148765,7.642044023851236
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,truncated_svd,10,10,0,0,0.0,0.001817270596110402,0.0005227369694710271,0.0017875889616274497,0.0014166085966006838,0.001979733475361817,0.0005631248787611334,0.0014932748657327417,0.0021412663264880625,0.002412263476965517,0.0006883336332209077,0.0024565763254575045,0.0019217345583919304,0.002721845806883464,0.0008001112484915338,0.0019856298710344226,0.0028388970828966114,0.0008542508706128483,0.00038094844958855956,0.0007424613876892548,0.0005856742578541799,0.0009007341192349737,0.00031505986138079386,0.0006181365753381506,0.001090365165887546,3.8652878702326583,0.12069802518172333,3.810846114484008,3.7937503115515776,3.9496079654304603,0.15585765387888273,3.790478459175572,3.9400972812897446,3.8652878702326583,0.12069802518172333,3.810846114484008,3.7937503115515776,3.9496079654304603,0.15585765387888273,3.790478459175572,3.9400972812897446,208505.23230003766,52665.14396207989,181562.181678915,179584.7498979661,206896.5355402888,27311.785642322706,175863.03788875364,241147.4267113217,103.84127676670032,16.85938294327533,105.26680312500321,91.13599679199979,119.35430087499662,28.218304082996838,93.39172295773461,114.29083057566602,6.9,1.1972189997378646,7.0,6.0,8.0,2.0,6.157955976148765,7.642044023851236
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,huber_irls,10,10,0,0,0.0,0.024308342073253122,0.012284187239469477,0.02676029547932092,0.014265893897814949,0.0302449054159039,0.01597901151808895,0.01669452394063596,0.031922160205870284,0.030905512177192083,0.01812678236014867,0.032396230793298494,0.01702759582290193,0.042743404298237184,0.025715808475335254,0.01967041607117854,0.04214060828320563,0.010795639600407279,0.009873743997576477,0.005704500998833456,0.0032036461448664835,0.02080206375427087,0.017598417609404386,0.004675829667518765,0.016915449533295792,8.542657417885195,0.6690957857749241,8.825858207046526,8.0257932265857,9.048746400805262,1.0229531742195626,8.1279475533349,8.95736728243549,8.542657417885195,0.6690957857749241,8.825858207046526,8.0257932265857,9.048746400805262,1.0229531742195626,8.1279475533349,8.95736728243549,190006.02959025343,23692.18799517989,179565.77643143997,176236.93795596546,198098.60410775908,21861.666151793615,175321.45933399073,204690.59984651612,123.91223244580105,0.8997512936680782,123.82826914600082,123.32154060375251,124.72623678100354,1.4046961772510258,123.35456081632891,124.46990407527319,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,pseudoinverse,10,10,0,0,0.0,0.046728169981792834,0.03432092286033535,0.03408605430941769,0.02389563037472249,0.06474801269996923,0.04085238232524674,0.025455841604823094,0.06800049835876257,0.06212790457395223,0.05097386366961679,0.0454059960741374,0.02678077896874513,0.09014797727697446,0.06336719830822933,0.030533976548312275,0.09372183259959219,0.015457695903320084,0.00815413796526932,0.015428869208723908,0.008064689586760768,0.021972699847918678,0.01390801026115791,0.01040370883152169,0.02051168297511848,8.332276902011206,0.6015007375751955,8.329333213136705,8.05462613475512,8.805453745755978,0.750827611000858,7.959462882389472,8.705090921632939,8.332276902011206,0.6015007375751955,8.329333213136705,8.05462613475512,8.805453745755978,0.750827611000858,7.959462882389472,8.705090921632939,188363.79520073597,26226.10542343172,179531.094781988,179442.34394325525,198092.62559065793,18650.281647402677,172108.68665116315,204618.9037503088,119.98478262930003,0.09677940473288854,119.97343350050141,119.96334401024797,119.9990541037514,0.035710093503439566,119.924798132788,120.04476712581206,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,qsvt_regularized,10,10,0,0,0.0,0.04672817822687918,0.03432110580036777,0.03408571120326522,0.023895637416916023,0.06474801270343776,0.04085237528652173,0.025455736462502616,0.06800061999125574,0.0621279070691399,0.050974121728165275,0.045405463880940064,0.026780782110011222,0.0901479772824186,0.06336719517240738,0.030533819097154496,0.0937219950411253,0.015457700773128937,0.008154141086849514,0.0154288676464226,0.008064689583663093,0.0219727340445184,0.013908044460855307,0.010403711766555093,0.02051168977970278,8.332266138601543,0.6015067848929515,8.329333237254751,8.054545375805803,8.805453745967014,0.7509083701612109,7.9594483708134325,8.705083906389653,8.332266138601543,0.6015067848929515,8.329333237254751,8.054545375805803,8.805453745967014,0.7509083701612109,7.9594483708134325,8.705083906389653,188363.3349351412,26224.967839301567,179531.09102160757,179442.34707378107,198092.6256099391,18650.27853615803,172108.93146751713,204617.73840276527,119.54005376669666,0.09654785539484247,119.5051284164947,119.47808143775183,119.61028879199694,0.13220735424511076,119.48021278595121,119.59989474744211,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,ridge,10,10,0,0,0.0,0.04672817822687918,0.03432110580036777,0.03408571120326522,0.023895637416916023,0.06474801270343776,0.04085237528652173,0.025455736462502616,0.06800061999125574,0.0621279070691399,0.050974121728165275,0.045405463880940064,0.026780782110011222,0.0901479772824186,0.06336719517240738,0.030533819097154496,0.0937219950411253,0.015457700773128937,0.008154141086849514,0.0154288676464226,0.008064689583663093,0.0219727340445184,0.013908044460855307,0.010403711766555093,0.02051168977970278,8.332266138601543,0.6015067848929515,8.329333237254751,8.054545375805803,8.805453745967014,0.7509083701612109,7.9594483708134325,8.705083906389653,8.332266138601543,0.6015067848929515,8.329333237254751,8.054545375805803,8.805453745967014,0.7509083701612109,7.9594483708134325,8.705083906389653,188363.3349351412,26224.967839301567,179531.09102160757,179442.34707378107,198092.6256099391,18650.27853615803,172108.93146751713,204617.73840276527,119.50721808740055,0.13811776595302663,119.48924731250008,119.39828423975086,119.59594132250095,0.19765708275008365,119.4216118091544,119.59282436564669,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0
nonlinear_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,truncated_svd,10,10,0,0,0.0,0.04672816998179523,0.0343209228603353,0.0340860543094257,0.023895630374722927,0.06474801269996774,0.04085238232524482,0.02545584160482552,0.06800049835876494,0.06212790457395604,0.05097386366961635,0.0454059960741506,0.02678077896874269,0.0901479772769726,0.06336719830822991,0.030533976548316355,0.09372183259959573,0.015457695903320148,0.008154137965269618,0.015428869208723724,0.008064689586760838,0.02197269984792063,0.013908010261159794,0.010403708831521568,0.02051168297511873,8.332276902011376,0.6015007375752514,8.329333213136927,8.05462613475527,8.805453745756296,0.750827611001025,7.959462882389608,8.705090921633143,8.332276902011376,0.6015007375752514,8.329333213136927,8.05462613475527,8.805453745756296,0.750827611001025,7.959462882389608,8.705090921633143,188363.79520073524,26226.105423377572,179531.09478200643,179442.34394334123,198092.62559063465,18650.28164729342,172108.68665119598,204618.9037502745,119.50436574160048,0.13464284610149577,119.49103922900031,119.40418929149928,119.62473887500164,0.2205495835023612,119.42091324099215,119.58781824220881,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0
