absolute_spectral_error,absolute_tolerance_for_near_zero_targets,component,configuration_sha256,degree,evidence_label,polynomial,relative_spectral_error,shape,spectrum,status,tolerance
1.211046692227615e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4125052540925678e-13,3x2,well_conditioned,pass,1e-08
6.398859025550005e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.2495008280454766e-13,3x2,well_conditioned,pass,1e-08
2.0711959130245307e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,7.491383279186003e-15,3x2,well_conditioned,pass,1e-08
2.066489756489295e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,3.985748828712515e-14,3x2,well_conditioned,pass,1e-08
1.3065348318905607e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.375299823042696e-13,3x2,moderately_conditioned,pass,1e-08
1.2053077185063405e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4058115976163762e-13,3x2,moderately_conditioned,pass,1e-08
6.334182998038442e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,1.0467925082318232e-13,3x2,moderately_conditioned,pass,1e-08
1.6574521210333342e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,3.3149972110020373e-15,3x2,moderately_conditioned,pass,1e-08
2.4016680773209177e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,1.2349598491083952e-14,3x2,moderately_conditioned,pass,1e-08
1.3072862091381414e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3760907464612016e-13,3x2,nearly_rank_deficient,pass,1e-08
1.2112448037965964e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4127363216755758e-13,3x2,nearly_rank_deficient,pass,1e-08
6.248622847698197e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.7864402582172976e-13,3x2,nearly_rank_deficient,pass,1e-08
5.549221355881193e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,2.1970469650811125e-15,3x2,nearly_rank_deficient,pass,1e-08
1.4876976501366194e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,6.058736203621496e-14,3x2,nearly_rank_deficient,pass,1e-08
7.56944690220732e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3762630731286037e-13,3x2,repeated_singular_values,pass,1e-08
3.408701744925158e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,2.0488064582570438e-13,3x2,repeated_singular_values,pass,1e-08
4.753340447593146e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,3.1685517802385845e-14,3x2,repeated_singular_values,pass,1e-08
6.367286719475751e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.0292781532272964e-14,3x2,repeated_singular_values,pass,1e-08
1.2621615342646313e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,2.973770733866176e-14,3x2,repeated_singular_values,pass,1e-08
3.4380365080822105e-14,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3752146032328845e-13,3x2,zero_singular_values,pass,1e-08
8.902077514573368e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,5.697329609326956e-13,3x2,zero_singular_values,pass,1e-08
8.322102674930409e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,9.476605774086264e-16,3x2,zero_singular_values,pass,1e-08
4.983438608364327e-16,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,1.4044599123633724e-15,3x2,zero_singular_values,pass,1e-08
2.7863197749625787e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,2.981348056574509e-14,3x2,zero_singular_values,pass,1e-08
1.306710971606678e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3754852332701872e-13,4x2,well_conditioned,pass,1e-08
1.2056971371115571e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4062657963103162e-13,4x2,well_conditioned,pass,1e-08
6.645741264130061e-14,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,7,EXECUTED_STATEVECTOR,ridge_degree_7,2.336291582131173e-13,4x2,well_conditioned,pass,1e-08
1.3210110824277636e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,31,EXECUTED_STATEVECTOR,ridge_degree_31,4.778012679673313e-15,4x2,well_conditioned,pass,1e-08
1.4379949430001923e-15,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,255,EXECUTED_STATEVECTOR,ridge_degree_255_repaired,2.7735374161711828e-14,4x2,well_conditioned,pass,1e-08
1.3069666768037482e-13,1e-12,neg_imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,1,EXECUTED_STATEVECTOR,identity,1.3757543966355238e-13,4x2,moderately_conditioned,pass,1e-08
1.200720142686664e-13,1e-12,imag,db67f79cce4b0a67c78530c0a2a185b729f9d7a2ea6baf40ab50325266a13189,3,EXECUTED_STATEVECTOR,cubic,1.4004608749808003e-13,4x2,moderately_conditioned,pass,1e-08
