configuration_id,chain_type,functional_id,shots_attempted,direct_postselection_shots_attempted,seed,backend,postselection_accepted,readout_accepted,measured_postselection_probability,interference_acceptance_probability,inferred_postselection_probability_from_branch,branch_probability,quadrature,quadrature_probability,readout_sign_mean_accepted,signed_overlap_estimate,selected_output_estimate,absolute_error_vs_quantized_ridge,relative_error_vs_quantized_ridge,absolute_error_vs_statevector,analytic_standard_error,statevector_expected_standard_error,confidence_interval_lower,confidence_interval_upper,statevector_reference,quantized_ridge_reference,statevector_postselection_probability,physical_recovery_scale,output_state_used_for_preparation
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,0,qiskit_aer_statevector_actual_shot_sampling,6096,8051,0.6096,0.8051,0.6102000000000001,0.5,real,1.0,0.25425412992174884,0.2047,0.002491165615440706,1.9450591569013242e-05,0.007869269467216269,1.995417961484511e-05,0.00010631715447231071,0.00010632339926056743,0.0022827878217361952,0.0026995434091452164,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,1,qiskit_aer_statevector_actual_shot_sampling,6135,8020,0.6135,0.802,0.6040000000000001,0.5,real,1.0,0.257356608478803,0.2064,0.0025118543381874043,4.013931431571171e-05,0.01623945880817503,4.064290236154358e-05,0.00010605222391534217,0.00010632339926056743,0.002303995798832956,0.0027197128775418525,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,2,qiskit_aer_statevector_actual_shot_sampling,6121,8113,0.6121,0.8113,0.6226,0.5,real,1.0,0.26118575126340443,0.2119,0.0025787884411914296,0.00010707341731973699,0.04331948314657135,0.00010757700536556886,0.00010653984241520905,0.00010632339926056743,0.002369974187139047,0.0027876026952438123,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,3,qiskit_aer_statevector_actual_shot_sampling,6113,8049,0.6113,0.8049,0.6097999999999999,0.5,real,1.0,0.2568020872158032,0.2067,0.0025155052892603513,4.379026538865868e-05,0.017716551044814885,4.429385343449055e-05,0.00010624589009842533,0.00010632339926056743,0.002307267171162037,0.0027237434073586657,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,4,qiskit_aer_statevector_actual_shot_sampling,6050,8062,0.605,0.8062,0.6124,0.5,real,1.0,0.24708509054825106,0.1992,0.002424231512436681,4.74835114350116e-05,0.019210754871179875,4.6979923389179733e-05,0.00010654825032444581,0.00010632339926056743,0.0022154007791850092,0.0026330622456883527,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,5,qiskit_aer_statevector_actual_shot_sampling,6060,8072,0.606,0.8072,0.6144000000000001,0.5,real,1.0,0.24405351833498512,0.197,0.002397457871235071,7.425715263662154e-05,0.030042764606538333,7.375356459078967e-05,0.00010667825250910486,0.00010632339926056743,0.002188372338383556,0.002606543404086586,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,6,qiskit_aer_statevector_actual_shot_sampling,6023,8062,0.6023,0.8062,0.6124,0.5,real,1.0,0.23815430414289257,0.192,0.0023366086866859577,0.00013510633718573492,0.05466096855053478,0.00013460274913990305,0.00010674383108320707,0.00010632339926056743,0.0021273946221910447,0.0025458227511808706,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,7,qiskit_aer_statevector_actual_shot_sampling,6128,8025,0.6128,0.8025,0.605,0.5,real,1.0,0.2585669781931464,0.2075,0.0025252411587882093,5.352613491651668e-05,0.021655463675854258,5.402972296234855e-05,0.00010605534580837378,0.00010632339926056743,0.0023173765006358556,0.002733105816940563,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,8,qiskit_aer_statevector_actual_shot_sampling,6169,8042,0.6169,0.8042,0.6084,0.5,real,1.0,0.26734643123601093,0.215,0.0026165149356118795,0.00014479991174018696,0.05858276959184902,0.00014530349978601883,0.00010595274164871586,0.00010632339926056743,0.0024088513779171195,0.0028241784933066396,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,coordinate_e0,10000,10000,9,qiskit_aer_statevector_actual_shot_sampling,6121,8014,0.6121,0.8014,0.6028,0.5,real,1.0,0.25854754180184675,0.2072,0.0025215902077152627,4.987518384357015e-05,0.020178371439214582,5.0378771889402017e-05,0.00010598720397117624,0.00010632339926056743,0.002313859105109657,0.0027293213103208687,0.0024712114358258607,0.0024717150238716926,0.6090421558900074,0.012169836909822696,False
