configuration_id,chain_type,functional_id,shots,num_seeds,mean_measured_postselection_probability,std_measured_postselection_probability_across_seeds,mean_interference_acceptance_probability,mean_selected_output_estimate,selected_output_std_across_seeds,mean_analytic_standard_error_one_estimate,uncertainty_of_mean_across_seeds,mean_confidence_interval_lower,mean_confidence_interval_upper,statevector_reference,quantized_ridge_reference,absolute_error_of_mean_vs_quantized_ridge,relative_error_of_mean_vs_quantized_ridge,absolute_error_of_mean_vs_statevector,empirical_variance_across_seeds,analytic_variance_one_estimate,empirical_to_analytic_variance_ratio,variance_consistency_status,statevector_95pct_ci_coverage_across_seeds,mean_shots_attempted,mean_postselection_accepted_direct_chain,mean_readout_accepted_interference_chain,uncertainty_note
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,aggregate_e0_to_e3,10000,10,0.61016,0.004452265340999659,0.8036900000000001,0.0002948751483250039,7.779192704082307e-05,0.00010905854672027845,2.4599967302264322e-05,0.0002466600983917029,0.00034309019825830495,0.0002747297976379696,0.0002749801396336568,1.9895008691347092e-05,0.07235071128355772,2.014535068703432e-05,6.051583912724739e-09,1.1907806180215383e-08,0.5082030914123664,consistent_with_10_seed_monte_carlo,1.0,10000.0,6101.6,8036.9,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,aggregate_e0_to_e3,100000,10,0.60939,0.0014444299144568155,0.803873,0.0002894352312263132,4.0430854911055635e-05,3.4492354424979004e-05,1.2785358926674024e-05,0.0002643763882006144,0.000314494074252012,0.0002747297976379696,0.0002749801396336568,1.4455091592656389e-05,0.052567765846341596,1.4705433588343617e-05,1.6346540288388315e-09,1.1907806180215378e-09,1.3727583436441735,consistent_with_10_seed_monte_carlo,0.9,100000.0,60939.0,80387.3,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,aggregate_e0_to_e3,1000000,10,0.6091181999999999,0.0003344002259435947,0.8045648,0.00027711935627357264,9.519255454772885e-06,1.0912521579744025e-05,3.010252886606428e-06,0.0002712193690314663,0.000283019343515679,0.0002747297976379696,0.0002749801396336568,2.1392166399158193e-06,0.007779531433672983,2.3895586356030476e-06,9.061622441322332e-11,1.190780618021538e-10,0.7609816874898473,consistent_with_10_seed_monte_carlo,0.9,1000000.0,609118.2,804564.8,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,coordinate_e0,10000,10,0.61016,0.004452265340999659,0.8051,0.002491895805655295,8.409074530768782e-05,0.0001063120736246311,2.6591828531341015e-05,0.002439776779450802,0.0025440148318597883,0.002471211435823628,0.0024717150238716926,2.018078178360255e-05,0.008164687914544205,2.0684369831667007e-05,7.071253446402421e-09,1.1304665230331855e-08,0.6255163954284421,consistent_with_10_seed_monte_carlo,1.0,10000.0,6101.6,8051.0,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,coordinate_e0,100000,10,0.60939,0.0014444299144568155,0.804358,0.0024848616399214176,3.103993983298545e-05,3.360861345586061e-05,9.81569083068205e-06,0.002465623239409901,0.0025041000404329343,0.002471211435823628,0.0024717150238716926,1.3146616049725026e-05,0.0053188235386182085,1.3650204097789484e-05,9.63477864835357e-10,1.1304665230331854e-09,0.8522834114983107,consistent_with_10_seed_monte_carlo,0.9,100000.0,60939.0,80435.8,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,coordinate_e0,1000000,10,0.6091181999999999,0.0003344002259435947,0.8045237999999999,0.002473512050019317,8.646851969799022e-06,1.0631820268786194e-05,2.7343746814878393e-06,0.0024681527741233626,0.0024788713259152714,0.002471211435823628,0.0024717150238716926,1.7970261476244268e-06,0.0007270361389840024,2.3006141956888847e-06,7.476804898761724e-11,1.1304665230331857e-10,0.6613910935372509,consistent_with_10_seed_monte_carlo,1.0,1000000.0,609118.2,804523.8,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,signed_difference_e0_minus_e1,10000,10,0.61016,0.004452265340999659,0.8044800000000001,0.005104759790194227,9.312766198747859e-05,9.647763539987837e-05,2.944955250467155e-05,0.00504703972792425,0.0051624798524642045,0.005082900841592023,0.005082795867496566,2.1963922697661176e-05,0.004321228565978017,2.18589486022042e-05,8.672761427254065e-09,9.33176572984071e-09,0.9293805350814467,consistent_with_10_seed_monte_carlo,1.0,10000.0,6101.6,8044.8,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,signed_difference_e0_minus_e1,100000,10,0.60939,0.0014444299144568155,0.8035929999999999,0.005102362332322993,3.754118208838392e-05,3.0492665425121186e-05,1.1871564145440976e-05,0.005079094494157771,0.005125630170488215,0.005082900841592023,0.005082795867496566,1.9566464826426856e-05,0.0038495476380529807,1.946149073096988e-05,1.4093403525931977e-09,9.331765729840707e-10,1.510261180353544,consistent_with_10_seed_monte_carlo,0.8,100000.0,60939.0,80359.3,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,dense,signed_difference_e0_minus_e1,1000000,10,0.6091181999999999,0.0003344002259435947,0.8043591000000001,0.005086618214312754,6.810908419231634e-06,9.65690460943231e-06,2.153798353958893e-06,0.005082396847109033,0.005090839581516475,0.005082900841592023,0.005082795867496566,3.822346816188295e-06,0.0007520165900486809,3.7173727207313184e-06,4.6388473495160355e-11,9.331765729840707e-11,0.49710285103730534,consistent_with_10_seed_monte_carlo,1.0,1000000.0,609118.2,804359.1,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
ieee14_sparse_quantized_8x8_d31_selected_v1,sparse,aggregate_e0_to_e3,10000,10,0.61016,0.004452265340999659,0.8036900000000001,0.0002948751483250039,7.779192704082307e-05,0.00010905854672027845,2.4599967302264322e-05,0.0002466600983917029,0.00034309019825830495,0.00027472979764022213,0.0002749801396336568,1.9895008691347092e-05,0.07235071128355772,2.0145350684781782e-05,6.051583912724739e-09,1.190780618020654e-08,0.5082030914127438,consistent_with_10_seed_monte_carlo,1.0,10000.0,6101.6,8036.9,analytic_standard_error is for one finite-shot estimate; seed std is variation across seeds; uncertainty_of_mean divides seed std by sqrt(K)
