estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.0009184025528811138,9.708033819770652e-05,0.001292452622729368,8.60684648253023,8.60684648253023,398.18928311304103,235,235,5.143922541000009,4,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,398.18928311304103,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
ridge,0.0009184025528810046,9.708033819776326e-05,0.0012924526227292088,8.606846482530228,8.606846482530228,398.1892831130125,235,235,5.160288667000003,4,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,398.1892831130125,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.0009184025528810722,9.708033819771767e-05,0.0012924526227293081,8.606846482530225,8.606846482530225,398.1892831130391,235,235,5.174223457999986,4,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,398.1892831130391,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.0009184025528810046,9.708033819776326e-05,0.0012924526227292088,8.606846482530228,8.606846482530228,398.1892831130125,235,235,5.175581125000008,4,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,398.1892831130125,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.0002856261869587223,3.0276836867500804e-05,0.00040195067291035215,8.632287505742037,8.632287505742037,401.42775505198006,235,235,5.236910916999989,4,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,401.42775505198006,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.003711245622553516,0.004497319653118796,0.002715784715660789,7.003424248953378,7.003424248953378,330.18078204142836,235,235,6.3897885840000015,5,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,330.18078204142836,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
ridge,0.0037112456225535505,0.004497319653118739,0.002715784715660977,7.003424248953346,7.003424248953346,330.18078204142944,235,235,6.60176687500001,5,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,330.18078204142944,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.003711245622553517,0.0044973196531188,0.002715784715660786,7.0034242489533725,7.0034242489533725,330.18078204142756,235,235,6.3516915419999975,5,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,330.18078204142756,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.0037112456225535505,0.004497319653118739,0.002715784715660977,7.003424248953346,7.003424248953346,330.18078204142944,235,235,6.276366749999994,5,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,330.18078204142944,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.002433200108663552,0.0030905571615737018,0.001523205120735188,7.305423929992389,7.305423929992389,329.993266944943,235,235,6.816225250000002,5,True,False,,ieee118,pypower,pypower.case118.case118,True,nonlinear_ac_state_estimation,653,235,nonlinear_ac_ieee118,0.0,0.1,0.05,3,5.0,weak_area,,329.993266944943,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
