bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
84,12,-0.008461049547044103,-0.12262059119035866,structural_group,unstratified,8675309
85,12,-0.0031230166786271746,-0.06077478530805985,structural_group,unstratified,8675309
86,12,-0.0031230166786271746,-0.06669945842004928,structural_group,unstratified,8675309
87,12,-0.008461049547044103,-0.12381303554720698,structural_group,unstratified,8675309
88,12,-0.025613472724431083,-0.08399622077299962,structural_group,unstratified,8675309
89,12,-0.016271844240387554,-0.022383936917783797,structural_group,unstratified,8675309
90,12,-0.010676065736833856,-0.07107772529949671,structural_group,unstratified,8675309
91,12,-0.01907392419508638,-0.020280621429380776,structural_group,unstratified,8675309
92,12,-0.0006418734478566973,-0.11888775697369447,structural_group,unstratified,8675309
93,12,-0.005658969592345277,-0.07382895884782754,structural_group,unstratified,8675309
94,12,-0.0034439534025555232,-0.007812928464812552,structural_group,unstratified,8675309
95,12,-0.006246033357254349,-0.06857057412822642,structural_group,unstratified,8675309
96,12,-0.0031230166786271746,-0.11861616931701553,structural_group,unstratified,8675309
97,12,-0.016271844240387554,-0.07432694180013247,structural_group,unstratified,8675309
98,12,-0.008461049547044103,-0.1161674916456761,structural_group,unstratified,8675309
99,12,-0.0006418734478566973,-0.013308870215735605,structural_group,unstratified,8675309
100,12,-0.0006418734478566973,-0.010814626743330044,structural_group,unstratified,8675309
101,12,-0.036226347372473364,-0.1770771113607966,structural_group,unstratified,8675309
102,12,-0.0034439534025555232,-0.06137042520823561,structural_group,unstratified,8675309
103,12,-0.0034439534025555232,-0.12352930280630131,structural_group,unstratified,8675309
104,12,-0.008461049547044103,-0.12088037252480725,structural_group,unstratified,8675309
105,12,0.0,-0.05622258912601366,structural_group,unstratified,8675309
106,12,-0.021288940384876134,-0.12565468531854537,structural_group,unstratified,8675309
107,12,-0.010676065736833856,-0.12120072807692352,structural_group,unstratified,8675309
108,12,-0.021288940384876134,-0.07097304618192717,structural_group,unstratified,8675309
109,12,0.0,-0.018777615091843686,structural_group,unstratified,8675309
110,12,0.0,-0.05788888196539649,structural_group,unstratified,8675309
111,12,-0.0031230166786271746,-0.009457178658172721,structural_group,unstratified,8675309
112,12,-0.00032093672392834866,-0.06433405785715712,structural_group,unstratified,8675309
113,12,-0.0034439534025555232,-0.11485746047239347,structural_group,unstratified,8675309
114,12,-0.0006418734478566973,-0.0701340389608483,structural_group,unstratified,8675309
115,12,-0.0031230166786271746,-0.1688183442190859,structural_group,unstratified,8675309
116,12,-0.006246033357254349,-0.11839486901995344,structural_group,unstratified,8675309
117,12,-0.008461049547044103,-0.1720064665320915,structural_group,unstratified,8675309
118,12,-0.0034439534025555232,-0.015493289984156841,structural_group,unstratified,8675309
119,12,-0.008461049547044103,-0.014646732550169161,structural_group,unstratified,8675309
120,12,-0.00032093672392834866,-0.11777206297334548,structural_group,unstratified,8675309
121,12,-0.010676065736833856,-0.01514547671090277,structural_group,unstratified,8675309
122,12,-0.020596376579942503,-0.07519208449549207,structural_group,unstratified,8675309
123,12,-0.021288940384876134,-0.13144497823330875,structural_group,unstratified,8675309
124,12,-0.00032093672392834866,-0.11707620326161876,structural_group,unstratified,8675309
125,12,-0.005658969592345277,-0.01255996972961877,structural_group,unstratified,8675309
126,12,-0.010676065736833856,-0.22420928602069623,structural_group,unstratified,8675309
127,12,-0.010676065736833856,-0.014377379648687065,structural_group,unstratified,8675309
128,12,-0.0006418734478566973,-0.008195484116295188,structural_group,unstratified,8675309
129,12,-0.006246033357254349,-0.018137963981936078,structural_group,unstratified,8675309
130,12,0.0,-0.00318735969836764,structural_group,unstratified,8675309
131,12,-0.006246033357254349,-0.11936084284159097,structural_group,unstratified,8675309
132,12,-0.005658969592345277,-0.013082848360122771,structural_group,unstratified,8675309
133,12,-0.00032093672392834866,-0.06752956856868403,structural_group,unstratified,8675309
134,12,-0.00032093672392834866,-0.17026514195480383,structural_group,unstratified,8675309
135,12,-0.0034439534025555232,-0.01461206623226684,structural_group,unstratified,8675309
136,12,-0.005658969592345277,-0.16971715131097995,structural_group,unstratified,8675309
137,12,-0.00032093672392834866,-0.02157035011482823,structural_group,unstratified,8675309
138,12,-0.0034439534025555232,-0.01284325379092646,structural_group,unstratified,8675309
139,12,-0.00032093672392834866,-0.0643016620074879,structural_group,unstratified,8675309
140,12,-0.00032093672392834866,-0.06406956760976172,structural_group,unstratified,8675309
141,12,-0.006246033357254349,-0.12281934151703959,structural_group,unstratified,8675309
142,12,-0.00032093672392834866,-0.11635544787169294,structural_group,unstratified,8675309
143,12,-0.005658969592345277,-0.06515772782864665,structural_group,unstratified,8675309
144,12,0.0,-0.060847622638057854,structural_group,unstratified,8675309
145,12,0.0,-0.0010608886899530414,structural_group,unstratified,8675309
146,12,0.0,-0.05413579698328982,structural_group,unstratified,8675309
147,12,0.0,-0.008520852216199888,structural_group,unstratified,8675309
148,12,0.0,-0.012859993471726424,structural_group,unstratified,8675309
149,12,-0.005658969592345277,-0.01984087963252953,structural_group,unstratified,8675309
150,12,-0.0031230166786271746,-0.16789039010963291,structural_group,unstratified,8675309
151,12,-0.03190181503291841,-0.02971472062786816,structural_group,unstratified,8675309
152,12,-0.005658969592345277,-0.011443610714551041,structural_group,unstratified,8675309
153,12,-0.0034439534025555232,-0.007245271025698811,structural_group,unstratified,8675309
154,12,-0.021288940384876134,-0.07510725918615971,structural_group,unstratified,8675309
155,12,-0.02339845653464133,-0.0748824771266285,structural_group,unstratified,8675309
156,12,-0.0006418734478566973,-0.06249924324257012,structural_group,unstratified,8675309
157,12,-0.0031230166786271746,-0.17026046631366445,structural_group,unstratified,8675309
158,12,-0.00032093672392834866,-0.012160780365717406,structural_group,unstratified,8675309
159,12,-0.006246033357254349,-0.00808145371644691,structural_group,unstratified,8675309
160,12,0.0,-0.0005847404170119663,structural_group,unstratified,8675309
161,12,-0.00032093672392834866,-0.11753714404528853,structural_group,unstratified,8675309
162,12,-0.0034439534025555232,-0.060700859481891294,structural_group,unstratified,8675309
163,12,-0.008461049547044103,-0.06646031253045094,structural_group,unstratified,8675309
164,12,-0.00032093672392834866,-0.06433123332682635,structural_group,unstratified,8675309
165,12,0.0,-0.06794776808161847,structural_group,unstratified,8675309
166,12,-0.006246033357254349,-0.11676659589275523,structural_group,unstratified,8675309
167,12,-0.010676065736833856,-0.12428688402974149,structural_group,unstratified,8675309
168,12,-0.00032093672392834866,-0.012794439978077762,structural_group,unstratified,8675309
169,12,-0.05477133693621747,-0.18378165317921533,structural_group,unstratified,8675309
170,12,-0.005338032868416928,-0.16883592755908997,structural_group,unstratified,8675309
171,12,-0.0031230166786271746,-0.017177719405313634,structural_group,unstratified,8675309
172,12,-0.008461049547044103,-0.12212868218637644,structural_group,unstratified,8675309
173,12,-0.0031230166786271746,-0.00663299682722279,structural_group,unstratified,8675309
174,12,0.0,-0.005824085665406586,structural_group,unstratified,8675309
175,12,-0.00032093672392834866,-0.011584412281225346,structural_group,unstratified,8675309
176,12,-0.0031230166786271746,-0.06861265816682342,structural_group,unstratified,8675309
177,12,0.0,-0.0010073992359649834,structural_group,unstratified,8675309
178,12,-0.03190181503291841,-0.07848649916216206,structural_group,unstratified,8675309
179,12,-0.021288940384876134,-0.17635168032973145,structural_group,unstratified,8675309
180,12,0.015565481693014582,0.0003836551727697454,structural_group,unstratified,8675309
181,12,-0.006246033357254349,-0.06851470882350556,structural_group,unstratified,8675309
182,12,-0.0031230166786271746,-0.06550701406320096,structural_group,unstratified,8675309
183,12,-0.00032093672392834866,-0.06216368020118257,structural_group,unstratified,8675309
184,12,-0.008461049547044103,-0.02237926127664443,structural_group,unstratified,8675309
185,12,-0.0034439534025555232,-0.01733818776727781,structural_group,unstratified,8675309
186,12,0.0,-0.054498893806141424,structural_group,unstratified,8675309
187,12,-0.008461049547044103,-0.16940991979284922,structural_group,unstratified,8675309
188,12,-0.006246033357254349,-0.07415097355344998,structural_group,unstratified,8675309
189,12,-0.021288940384876134,-0.12487806462389868,structural_group,unstratified,8675309
190,12,0.0,-0.05523039737931997,structural_group,unstratified,8675309
191,12,-0.03190181503291841,-0.12777331924884075,structural_group,unstratified,8675309
192,12,0.0,-0.011298828429511102,structural_group,unstratified,8675309
193,12,-0.0034439534025555232,-0.0659120895421499,structural_group,unstratified,8675309
194,12,-0.03190181503291841,-0.17627091934681147,structural_group,unstratified,8675309
195,12,-0.021288940384876134,-0.17211048841752277,structural_group,unstratified,8675309
196,12,-0.006246033357254349,-0.11916059023143634,structural_group,unstratified,8675309
197,12,-0.0034439534025555232,-0.06852176031537772,structural_group,unstratified,8675309
198,12,-0.025613472724431083,-0.08115913124318498,structural_group,unstratified,8675309
199,12,-0.008461049547044103,-0.16985301498398275,structural_group,unstratified,8675309
200,12,0.0,-0.06938927886147012,structural_group,unstratified,8675309
201,12,-0.0006418734478566973,-0.06519600979336342,structural_group,unstratified,8675309
202,12,-0.005658969592345277,-0.17374906104837573,structural_group,unstratified,8675309
203,12,-0.008461049547044103,-0.11845443101605486,structural_group,unstratified,8675309
204,12,-0.021288940384876134,-0.07391949047045074,structural_group,unstratified,8675309
205,12,-0.010676065736833856,-0.07055484666899271,structural_group,unstratified,8675309
206,12,-0.008461049547044103,-0.018093609475105955,structural_group,unstratified,8675309
207,12,-0.008461049547044103,-0.12386890085192782,structural_group,unstratified,8675309
208,12,-0.008461049547044103,-0.1220681412405162,structural_group,unstratified,8675309
209,12,-0.00032093672392834866,-0.06255449723256402,structural_group,unstratified,8675309
210,12,-0.0034439534025555232,-0.011401131696347856,structural_group,unstratified,8675309
211,12,-0.010676065736833856,-0.026658472901037702,structural_group,unstratified,8675309
212,12,-0.008461049547044103,-0.06995683091808415,structural_group,unstratified,8675309
213,12,-0.0031230166786271746,-0.0654023349456314,structural_group,unstratified,8675309
214,12,0.0,-0.006799456686734214,structural_group,unstratified,8675309
215,12,-0.00032093672392834866,-0.06895410732325853,structural_group,unstratified,8675309
216,12,-0.021288940384876134,-0.030200557089737037,structural_group,unstratified,8675309
217,12,-0.03190181503291841,-0.07500258006859015,structural_group,unstratified,8675309
218,12,-0.008461049547044103,-0.07694370857643452,structural_group,unstratified,8675309
219,12,-0.0031230166786271746,-0.014790671176004971,structural_group,unstratified,8675309
220,12,-0.0034439534025555232,-0.06545582439961947,structural_group,unstratified,8675309
221,12,-0.020596376579942503,-0.07292898719943665,structural_group,unstratified,8675309
222,12,-0.0034439534025555232,-0.018916435787391363,structural_group,unstratified,8675309
223,12,-0.0006418734478566973,-0.013726853393549265,structural_group,unstratified,8675309
224,12,-0.010676065736833856,-0.07416618104272127,structural_group,unstratified,8675309
225,12,-0.0034439534025555232,-0.013444517553617608,structural_group,unstratified,8675309
226,12,-0.0031230166786271746,-0.12297922870719169,structural_group,unstratified,8675309
227,12,-0.0006418734478566973,-0.062354244622409405,structural_group,unstratified,8675309
228,12,-0.0006418734478566973,-0.01654002478871432,structural_group,unstratified,8675309
229,12,-0.008461049547044103,-0.12114662730820851,structural_group,unstratified,8675309
230,12,-0.010676065736833856,-0.01805770336112199,structural_group,unstratified,8675309
231,12,0.0,-0.017744981864821204,structural_group,unstratified,8675309
232,12,-0.0006418734478566973,-0.015073007015936626,structural_group,unstratified,8675309
233,12,-0.0006418734478566973,-0.07030472025166447,structural_group,unstratified,8675309
234,12,-0.016271844240387554,-0.1248719920817853,structural_group,unstratified,8675309
235,12,-0.0031230166786271746,-0.014086887811356285,structural_group,unstratified,8675309
236,12,-0.006246033357254349,-0.01761746120216488,structural_group,unstratified,8675309
237,12,-0.0034439534025555232,-0.11715361085025644,structural_group,unstratified,8675309
238,12,-0.008461049547044103,-0.06283178979632446,structural_group,unstratified,8675309
239,12,-0.04055087971202831,-0.1899028578720452,structural_group,unstratified,8675309
240,12,-0.0006418734478566973,-0.01226775927369352,structural_group,unstratified,8675309
241,12,-0.006246033357254349,-0.16948384561901775,structural_group,unstratified,8675309
242,12,-0.008461049547044103,-0.02165850588671861,structural_group,unstratified,8675309
243,12,-0.0006418734478566973,-0.007840462246276606,structural_group,unstratified,8675309
244,12,0.0,-0.009017436861321476,structural_group,unstratified,8675309
245,12,-0.008461049547044103,-0.022646021992272943,structural_group,unstratified,8675309
246,12,-0.021288940384876134,-0.0745867564063885,structural_group,unstratified,8675309
247,12,-0.0031230166786271746,-0.11538033910289745,structural_group,unstratified,8675309
248,12,-0.021288940384876134,-0.1272481408279302,structural_group,unstratified,8675309
249,12,-0.0034439534025555232,-0.06709202117973966,structural_group,unstratified,8675309
250,12,0.0,-0.06722701269169265,structural_group,unstratified,8675309
251,12,-0.006246033357254349,-0.06381344969488623,structural_group,unstratified,8675309
252,12,0.0,-0.05953759146477524,structural_group,unstratified,8675309
253,12,-0.00032093672392834866,-0.06562835680124424,structural_group,unstratified,8675309
254,12,-0.005658969592345277,-0.06645485130306454,structural_group,unstratified,8675309
255,12,-0.0006418734478566973,-0.06793464404763296,structural_group,unstratified,8675309
256,12,-0.006246033357254349,-0.013363756570697655,structural_group,unstratified,8675309
257,12,0.0,-0.0601139595492673,structural_group,unstratified,8675309
258,12,-0.0034439534025555232,-0.014416489263251571,structural_group,unstratified,8675309
259,12,-0.010676065736833856,-0.06806527883772652,structural_group,unstratified,8675309
260,12,0.0,-0.1167094097473866,structural_group,unstratified,8675309
261,12,-0.00032093672392834866,-0.0682333519333327,structural_group,unstratified,8675309
262,12,-0.010676065736833856,-0.11576471595713372,structural_group,unstratified,8675309
263,12,0.0,-0.10659703417717657,structural_group,unstratified,8675309
264,12,-0.0031230166786271746,-0.11517314038337036,structural_group,unstratified,8675309
265,12,-0.010676065736833856,-0.013223171339144133,structural_group,unstratified,8675309
266,12,-0.036226347372473364,-0.12923874816334202,structural_group,unstratified,8675309
267,12,-0.00032093672392834866,-0.011130306654306941,structural_group,unstratified,8675309
268,12,-0.008461049547044103,-0.12357019296622808,structural_group,unstratified,8675309
269,12,-0.00032093672392834866,-0.062428170448577965,structural_group,unstratified,8675309
270,12,-0.010676065736833856,-0.07333844674481932,structural_group,unstratified,8675309
271,12,0.0,-0.11234635035721045,structural_group,unstratified,8675309
272,12,-0.0034439534025555232,-0.006686486281210847,structural_group,unstratified,8675309
273,12,-0.03190181503291841,-0.07800251381110178,structural_group,unstratified,8675309
274,12,-0.010676065736833856,-0.016447275826460012,structural_group,unstratified,8675309
275,12,-0.04055087971202831,-0.12993796126935106,structural_group,unstratified,8675309
276,12,-0.0034439534025555232,-0.011823790515300872,structural_group,unstratified,8675309
277,12,-0.021288940384876134,-0.07438650379623389,structural_group,unstratified,8675309
278,12,-0.006246033357254349,-0.020187790016351036,structural_group,unstratified,8675309
279,12,-0.0034439534025555232,-0.06192920995272358,structural_group,unstratified,8675309
280,12,-0.0031230166786271746,-0.01097847287739484,structural_group,unstratified,8675309
281,12,-0.036226347372473364,-0.23234586676515956,structural_group,unstratified,8675309
282,12,-0.006246033357254349,-0.020508040185967604,structural_group,unstratified,8675309
283,12,0.0,-0.05575327600982396,structural_group,unstratified,8675309
284,12,-0.006246033357254349,-0.06348675934812444,structural_group,unstratified,8675309
285,12,-0.005338032868416928,-0.1694520038314462,structural_group,unstratified,8675309
286,12,-0.008461049547044103,-0.06900574566643801,structural_group,unstratified,8675309
287,12,-0.00032093672392834866,-0.11242375794584814,structural_group,unstratified,8675309
288,12,0.0,-0.0629680211043591,structural_group,unstratified,8675309
289,12,-0.006246033357254349,-0.008947207726533455,structural_group,unstratified,8675309
290,12,-0.05477133693621747,-0.23730781406729404,structural_group,unstratified,8675309
291,12,-0.010676065736833856,-0.0191882098711361,structural_group,unstratified,8675309
