summary_dimension,ieee_case,selector,k_budget,slot_budget,rows,supports,coverage,violations,median_tightness,p90_tightness,worst_tightness
ieee_case,ieee14,,,,367200,6120,1.0,0,145.43083650861294,2237.865301397165,1.4024837656843696e+19
ieee_case,ieee30,,,,388800,6480,1.0,0,107.14408027107842,1094.804915508237,7183141.175157739
ieee_case,ieee57,,,,388800,6480,1.0,0,505.125535496837,190251.3290361835,3.323037625190226e+19
selector,,balanced_magnitude,,,31800,530,1.0,0,197.32827167043584,2123.971550965885,4.5311452884838426e+18
selector,,leverage_weighted,,,31800,530,1.0,0,214.37453938668395,1982.2407732751824,4.5311452884838426e+18
selector,,random_objective_feasible,,,954000,15900,1.0,0,147.5380108017998,2940.455413661737,3.128572887213544e+19
selector,,sensitivity_initial_mean,,,31800,530,1.0,0,433.46904064728017,11753.926246615434,2.201912871823305e+19
selector,,sensitivity_initial_worst_case,,,31800,530,1.0,0,382.4350381571328,12860.784058066327,1.7070182058158823e+19
selector,,sensitivity_refined_mean,,,31800,530,1.0,0,503.90054658116634,20179.056888098905,3.323037625190226e+19
selector,,sensitivity_refined_worst_case,,,31800,530,1.0,0,468.7239286490119,17982.3029351399,2.113898004815466e+19
support_budget,,,8.0,2.0,21600,360,1.0,0,48.30000242735343,18295.0002428862,9170287.698068907
support_budget,,,8.0,3.0,21600,360,1.0,0,49.7096725630027,17436.523369044367,9170287.698068907
support_budget,,,8.0,4.0,21600,360,1.0,0,49.36237838083141,18295.0002428862,9170287.698068907
support_budget,,,8.0,6.0,21600,360,1.0,0,48.33512132448924,18295.0002428862,9170287.698068907
support_budget,,,8.0,8.0,21600,360,1.0,0,47.025415191408314,18295.0002428862,9170287.698068907
support_budget,,,12.0,2.0,51840,864,1.0,0,155.66876326563238,2588.629625113996,13419836489.291454
support_budget,,,12.0,3.0,51840,864,1.0,0,174.33077320383163,3921.8270473230846,1.785995769143728e+19
support_budget,,,12.0,4.0,51840,864,1.0,0,180.19478252283062,3985.3192008655665,1.785995769143728e+19
support_budget,,,12.0,6.0,51840,864,1.0,0,178.21736725212864,4394.6973327510395,1.785995769143728e+19
support_budget,,,12.0,8.0,51840,864,1.0,0,175.86037327426854,4002.7463210508085,1.785995769143728e+19
support_budget,,,16.0,2.0,51840,864,1.0,0,178.9891810317758,2120.901662149039,1343766684.4093978
support_budget,,,16.0,3.0,51840,864,1.0,0,205.7917178942909,6219.530300597632,3.323037625190226e+19
support_budget,,,16.0,4.0,51840,864,1.0,0,231.09547250932496,4358.081737686824,2.339709055559024e+19
support_budget,,,16.0,6.0,51840,864,1.0,0,243.64204641292574,4795.979659993946,2.201912871823305e+19
support_budget,,,16.0,8.0,51840,864,1.0,0,235.95808410393312,4201.462864917463,2.201912871823305e+19
support_budget,,,24.0,2.0,51840,864,1.0,0,178.34980652516117,2152.1394840581274,1343766684.4093978
support_budget,,,24.0,3.0,51840,864,1.0,0,193.77691786975473,7136.953687344152,3.128572887213544e+19
support_budget,,,24.0,4.0,51840,864,1.0,0,282.90146426944614,3231.182737920275,2390734.9317903817
support_budget,,,24.0,6.0,51840,864,1.0,0,185.4482374168122,1856.4829519754708,1767849.1514824226
support_budget,,,24.0,8.0,51840,864,1.0,0,198.76931486331193,2087.577346358105,7183141.175157739
support_budget,,,32.0,2.0,51840,864,1.0,0,174.29230745863526,2103.9476593372838,1343766684.4093978
support_budget,,,32.0,3.0,51840,864,1.0,0,181.28305038185857,4689.941878314481,3.128572887213544e+19
support_budget,,,32.0,4.0,51840,864,1.0,0,266.5447239979118,3064.9818954528746,4548835.948956353
support_budget,,,32.0,6.0,51840,864,1.0,0,276.9962813143338,3070.203222662262,1518244.336329664
support_budget,,,32.0,8.0,51840,864,1.0,0,348.4571172428765,5416.369834959276,7518949.23945368
overall,,,,,1144800,19080,1.0,0,171.65573000400983,3554.9863933673105,3.323037625190226e+19
