bootstrap_sample,structural_group_count,median_paired_difference_sensitivity_minus_magnitude,mean_paired_difference_sensitivity_minus_magnitude,resampling_unit,bootstrap_mode,bootstrap_seed
81,12,0.0,-0.06557486734725619,structural_group,case_stratified,8675310
82,12,-0.0034439534025555232,-0.06566302311914655,structural_group,case_stratified,8675310
83,12,-0.00032093672392834866,-0.006859018682835625,structural_group,case_stratified,8675310
84,12,-0.01907392419508638,-0.0714953134977042,structural_group,case_stratified,8675310
85,12,-0.021288940384876134,-0.024869440422637588,structural_group,case_stratified,8675310
86,12,-0.00032093672392834866,-0.11514542017484053,structural_group,case_stratified,8675310
87,12,-0.006246033357254349,-0.06964352685784007,structural_group,case_stratified,8675310
88,12,-0.0006418734478566973,-0.06958396486173865,structural_group,case_stratified,8675310
89,12,-0.0006418734478566973,-0.11377437087425407,structural_group,case_stratified,8675310
90,12,-0.0034439534025555232,-0.01297066907108309,structural_group,case_stratified,8675310
91,12,-0.01907392419508638,-0.12456476056365458,structural_group,case_stratified,8675310
92,12,-0.021288940384876134,-0.17807146262310228,structural_group,case_stratified,8675310
93,12,-0.005338032868416928,-0.013158933701903361,structural_group,case_stratified,8675310
94,12,-0.0006418734478566973,-0.06556517915832838,structural_group,case_stratified,8675310
95,12,-0.00032093672392834866,-0.0692983810100244,structural_group,case_stratified,8675310
96,12,-0.005658969592345277,-0.07198176127430002,structural_group,case_stratified,8675310
97,12,0.0,-0.017128905592464938,structural_group,case_stratified,8675310
98,12,-0.006246033357254349,-0.12479685496138077,structural_group,case_stratified,8675310
99,12,0.0,-0.06675532372477015,structural_group,case_stratified,8675310
100,12,-0.0034439534025555232,-0.11533130895492799,structural_group,case_stratified,8675310
101,12,-0.010676065736833856,-0.11990360460250564,structural_group,case_stratified,8675310
102,12,0.0,-0.00638754605103391,structural_group,case_stratified,8675310
103,12,-0.00032093672392834866,-0.011953581646190306,structural_group,case_stratified,8675310
104,12,-0.036226347372473364,-0.18330634856547837,structural_group,case_stratified,8675310
105,12,-0.00032093672392834866,-0.11681638865536272,structural_group,case_stratified,8675310
106,12,-0.0034439534025555232,-0.012491056451238639,structural_group,case_stratified,8675310
107,12,-0.00032093672392834866,-0.06446363265292576,structural_group,case_stratified,8675310
108,12,-0.005658969592345277,-0.12649271912010204,structural_group,case_stratified,8675310
109,12,-0.0006418734478566973,-0.05892381498282553,structural_group,case_stratified,8675310
110,12,-0.0034439534025555232,-0.064614966067732,structural_group,case_stratified,8675310
111,12,-0.0034439534025555232,-0.06401370230504085,structural_group,case_stratified,8675310
112,12,-0.00032093672392834866,-0.06277244413534383,structural_group,case_stratified,8675310
113,12,-0.008461049547044103,-0.11981209543633298,structural_group,case_stratified,8675310
114,12,0.0,-0.06354906482999052,structural_group,case_stratified,8675310
115,12,-0.021288940384876134,-0.12617518809831654,structural_group,case_stratified,8675310
116,12,0.0,-0.015398375115841327,structural_group,case_stratified,8675310
117,12,-0.006246033357254349,-0.06555366836043763,structural_group,case_stratified,8675310
118,12,-0.03190181503291841,-0.18215686181448612,structural_group,case_stratified,8675310
119,12,-0.00032093672392834866,-0.05897500464640704,structural_group,case_stratified,8675310
120,12,0.0,-0.007701641550728931,structural_group,case_stratified,8675310
121,12,-0.0034439534025555232,-0.014665555686254897,structural_group,case_stratified,8675310
122,12,-0.00032093672392834866,-0.011953581646190306,structural_group,case_stratified,8675310
123,12,0.0,-0.11356271284870839,structural_group,case_stratified,8675310
124,12,-0.008461049547044103,-0.11871054893093036,structural_group,case_stratified,8675310
125,12,-0.021288940384876134,-0.1261138615662093,structural_group,case_stratified,8675310
126,12,-0.01907392419508638,-0.07493834243134938,structural_group,case_stratified,8675310
127,12,-0.010676065736833856,-0.07102185999477585,structural_group,case_stratified,8675310
128,12,-0.00032093672392834866,-0.008026567361484858,structural_group,case_stratified,8675310
129,12,-0.005338032868416928,-0.07250463990480403,structural_group,case_stratified,8675310
130,12,-0.0034439534025555232,-0.012241990028235313,structural_group,case_stratified,8675310
131,12,-0.00032093672392834866,-0.058398636561914984,structural_group,case_stratified,8675310
132,12,-0.00032093672392834866,-0.006489849317870666,structural_group,case_stratified,8675310
133,12,-0.0031230166786271746,-0.0654023349456314,structural_group,case_stratified,8675310
134,12,0.0,-0.005980094721352182,structural_group,case_stratified,8675310
135,12,-0.0031230166786271746,-0.12297922870719169,structural_group,case_stratified,8675310
136,12,-0.0006418734478566973,-0.06388813813569283,structural_group,case_stratified,8675310
137,12,-0.021288940384876134,-0.17764880380414927,structural_group,case_stratified,8675310
138,12,-0.008461049547044103,-0.11771213334221221,structural_group,case_stratified,8675310
139,12,-0.008461049547044103,-0.01796271243248023,structural_group,case_stratified,8675310
140,12,-0.00032093672392834866,-0.06349319952526966,structural_group,case_stratified,8675310
141,12,-0.0031230166786271746,-0.06183981438475156,structural_group,case_stratified,8675310
142,12,-0.0006418734478566973,-0.015674270778627774,structural_group,case_stratified,8675310
143,12,0.0,-0.06034605394699349,structural_group,case_stratified,8675310
144,12,-0.016271844240387554,-0.22776573403946276,structural_group,case_stratified,8675310
145,12,-0.01907392419508638,-0.12337461599721282,structural_group,case_stratified,8675310
146,12,0.0,-0.06178025238865014,structural_group,case_stratified,8675310
147,12,-0.0034439534025555232,-0.06591208954214989,structural_group,case_stratified,8675310
148,12,-0.00032093672392834866,-0.05814957013891165,structural_group,case_stratified,8675310
149,12,-0.006246033357254349,-0.0726001080148894,structural_group,case_stratified,8675310
150,12,-0.00032093672392834866,-0.05507288603990068,structural_group,case_stratified,8675310
151,12,0.0,-0.008693833297422624,structural_group,case_stratified,8675310
152,12,-0.00032093672392834866,-0.008887645730432043,structural_group,case_stratified,8675310
153,12,-0.01907392419508638,-0.12378813986900788,structural_group,case_stratified,8675310
154,12,-0.03190181503291841,-0.12597961112930128,structural_group,case_stratified,8675310
155,12,-0.0034439534025555232,-0.06615960776426814,structural_group,case_stratified,8675310
