arm,scenario,seed,iteration,state_rmse,angle_rmse,voltage_rmse,weighted_residual_norm,step_norm,selected_coordinate_rmse,frozen_coordinate_rmse,selected_output_benchmark_error,convergence_status
full_system_exact_ridge,gaussian_noise_baseline,101,0,0.006371533539056902,0.00542958767919551,0.004396442592894402,22.807552354615517,0.02502508006303735,0.0047638394467801074,0.004947861770400394,,running
full_system_exact_ridge,gaussian_noise_baseline,101,1,0.0005125715137168227,0.00034880195460155024,0.0004350626524843112,0.9140038091445868,0.0006874333725976488,0.00017906371855736967,0.0004223780681754521,,running
full_system_exact_ridge,gaussian_noise_baseline,101,2,0.0005244638235043118,0.00036642203654861064,0.0004379101944476297,0.9057668714078319,1.311659085927702e-07,0.0001715705359655521,0.0004330084524559002,,running
full_system_exact_ridge,gaussian_noise_baseline,101,3,0.000524465589225351,0.00036642684496315033,0.00043790889120295874,0.9057668712122743,5.034388379012265e-11,0.00017157031287227937,0.00043300996544981405,,converged
block_full_support_ridge,gaussian_noise_baseline,101,0,0.006371533539056902,0.00542958767919551,0.004396442592894402,22.807552354615517,0.0044953022636481646,0.0047638394467801074,0.004947861770400394,0.0019149003345464355,running
block_full_support_ridge,gaussian_noise_baseline,101,1,0.006112801505062246,0.005362965895422514,0.004034893471209934,16.884231327597963,0.0016505566499335723,0.003112580352394816,0.004947861770400394,0.0012216218721811016,running
block_full_support_ridge,gaussian_noise_baseline,101,2,0.006023081320252912,0.00531689502016457,0.003935050610076391,15.862681841949755,0.0013798950834188323,0.002303032810131709,0.004947861770400394,0.00064135974343325,running
block_full_support_ridge,gaussian_noise_baseline,101,3,0.005968481853494839,0.0052884827810092405,0.0038744287303874936,15.190173313837118,0.0012099507682396028,0.0016333013473155196,0.004947861770400394,0.00013587316196345383,running
block_full_support_ridge,gaussian_noise_baseline,101,4,0.005936886017550592,0.005273257010474739,0.0038376784802043396,14.665653765919485,0.001062045060817435,0.0010738073439795636,0.004947861770400394,0.000306385022296728,running
block_full_support_ridge,gaussian_noise_baseline,101,5,0.0059217086540935,0.0052674230585739975,0.003818091210904076,14.252103989860897,0.0009322538561217229,0.000654494168071619,0.004947861770400394,0.0006934573812818702,running
block_full_support_ridge,gaussian_noise_baseline,101,6,0.0059181107821203284,0.005268080235518757,0.0038108247315786934,13.927422062464094,0.0008183367983077183,0.0005067946805229286,0.004947861770400394,0.0010322151222633437,running
block_full_support_ridge,gaussian_noise_baseline,101,7,0.005922457002051803,0.00527306792117295,0.003812186741459275,13.673902764074201,0.0007183508384036954,0.0006812134696239394,0.004947861770400394,0.0013286678448417067,running
block_full_support_ridge,gaussian_noise_baseline,101,8,0.005932041767552264,0.005280801525776797,0.003819383872018441,13.47694634279521,0.0006305913322963599,0.0009599760152375403,0.004947861770400394,0.001588081140839714,running
block_full_support_ridge,gaussian_noise_baseline,101,9,0.005944879557596047,0.005290136066917528,0.003830336356061574,13.324620147650624,0.0005535623051834534,0.0012391486004205046,0.004947861770400394,0.001815068351207879,running
block_full_support_ridge,gaussian_noise_baseline,101,10,0.005959535630376285,0.005300257843091423,0.003843521508229638,13.20728666153772,0.0004859508883671821,0.001495995282800696,0.004947861770400394,0.002013670702381811,running
block_full_support_ridge,gaussian_noise_baseline,101,11,0.005974991399685291,0.0053106001723893055,0.003857844029013174,13.11724327596924,0.00042660490640158586,0.0017264763201887317,0.004947861770400394,0.002187427762860081,running
block_full_support_ridge,gaussian_noise_baseline,101,12,0.005990539273433371,0.005320778757655146,0.0038725317377583095,13.048387227739768,0.0003745132070840855,0.0019312705795250895,0.004947861770400394,0.0023394393383870922,running
block_full_support_ridge,gaussian_noise_baseline,101,13,0.0060057016992026814,0.005330542629920934,0.003887053717858489,12.995917581285466,0.0003287883979122059,0.0021123910435060394,0.004947861770400394,0.00247241981097103,running
block_full_support_ridge,gaussian_noise_baseline,101,14,0.0060201695450129615,0.005339737232517805,0.003901057169618322,12.956079254012886,0.00028865169510656666,0.002272171128702851,0.004947861770400394,0.002588745824397955,running
block_full_support_ridge,gaussian_noise_baseline,101,15,0.006033755616542059,0.0053482768441969674,0.003914319323850092,12.92594889412392,0.0002534196270999751,0.0024129161878533303,0.004947861770400394,0.002690498117345952,running
block_full_support_ridge,gaussian_noise_baseline,101,16,0.006046359856255915,0.005356124117617901,0.00392671118942632,12.903259328959571,0.00022249236576697134,0.002536778112036213,0.004947861770400394,0.0027794982121483983,running
block_full_support_ridge,gaussian_noise_baseline,101,17,0.006057943466114247,0.00536327499962459,0.003938170445829685,12.886257820725682,0.00019534348628377212,0.002645714626981783,0.004947861770400394,0.002857340583939807,running
block_full_support_ridge,gaussian_noise_baseline,101,18,0.006068509794874389,0.005369747698446021,0.003948681320632425,12.873592948276785,0.0001715109807952657,0.00274148329443016,0.004947861770400394,0.0029254208608170693,running
