phase_index,phase_angle
0,-1.5705749042676713
1,1.5704716080395578
2,1.5714597727162343
3,1.5697077367374281
4,1.572713179454015
5,1.5675914418036727
6,1.5762697556272389
7,1.561590826937072
8,1.5863744688024337
9,1.5445786076153656
10,1.6149593004412703
11,1.4967392755341904
12,1.6941203479727669
13,1.3697204833834882
14,1.8822082928712034
15,1.1392481924472719
16,1.1392481924472719
17,1.8822082928712036
18,1.369720483383488
19,1.6941203479727669
20,1.4967392755341906
21,1.6149593004412701
22,1.5445786076153656
23,1.5863744688024335
24,1.5615908269370722
25,1.5762697556272389
26,1.5675914418036725
27,1.572713179454015
28,1.5697077367374281
29,1.5714597727162343
30,1.5704716080395578
31,0.00022142252722523459
