instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,nondominated
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s4_ed489573a881,sensitivity_refined_mean,12,4,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s6_ed489573a881,sensitivity_refined_mean,12,6,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_mean_k12_s8_ed489573a881,sensitivity_refined_mean,12,8,12,3,0.1230864675148742,0.0001602253267585,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k24_s3_052537beac97,sensitivity_refined_worst_case,24,3,23,3,0.0515671588485041,0.0001018962968357,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k32_s3_052537beac97,sensitivity_refined_worst_case,32,3,23,3,0.0515671588485041,0.0001018962968357,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14102_block_8x8,ieee14,ieee14_eval_seed_14102_block_8x8__sensitivity_refined_worst_case_k32_s8_3c537793d6bf,sensitivity_refined_worst_case,32,8,32,7,0.0363789281461895,5.265963670448301e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__random_objective_feasible_k8_s3_r24_accbb881bafe,random_objective_feasible,8,3,8,1,0.3639668275254654,0.00039117846496,24.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_worst_case_k12_s2_5ae01f77845b,sensitivity_refined_worst_case,12,2,12,2,0.1845352766983179,0.0002267609123335,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_mean_k16_s6_4f3f28b4371c,sensitivity_refined_mean,16,6,16,5,0.0835343438158352,0.000101817513547,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_mean_k16_s8_4f3f28b4371c,sensitivity_refined_mean,16,8,16,5,0.0835343438158352,0.000101817513547,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_mean_k24_s4_04592114d755,sensitivity_refined_mean,24,4,24,4,0.0654239975683189,8.89107557396037e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_initial_worst_case_k32_s4_585dd05e8fa5,sensitivity_initial_worst_case,32,4,31,4,0.064939556969425,8.268169492700142e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14103_block_8x8,ieee14,ieee14_eval_seed_14103_block_8x8__sensitivity_refined_mean_k32_s8_6767d499305e,sensitivity_refined_mean,32,8,32,7,0.02761462531473,3.479886303052427e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__random_objective_feasible_k8_s8_r24_aff6c81e9484,random_objective_feasible,8,8,8,1,0.5622152565471938,0.0008471629973789,24.0,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k12_s3_f5735e1ddbe0,sensitivity_refined_mean,12,3,12,3,0.1358002030098998,0.0001583351285257,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k12_s4_f5735e1ddbe0,sensitivity_refined_mean,12,4,12,3,0.1358002030098998,0.0001583351285257,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k12_s6_f5735e1ddbe0,sensitivity_refined_mean,12,6,12,3,0.1358002030098998,0.0001583351285257,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k12_s8_f5735e1ddbe0,sensitivity_refined_mean,12,8,12,3,0.1358002030098998,0.0001583351285257,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_worst_case_k16_s6_d39b9ea388d6,sensitivity_refined_worst_case,16,6,16,4,0.1168545517258711,0.0001575374478105,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_worst_case_k16_s8_d39b9ea388d6,sensitivity_refined_worst_case,16,8,16,4,0.1168545517258711,0.0001575374478105,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k24_s3_27f5ecf8e526,sensitivity_refined_mean,24,3,23,3,0.0739597473423989,0.0001247653118501,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k32_s3_27f5ecf8e526,sensitivity_refined_mean,32,3,23,3,0.0739597473423989,0.0001247653118501,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k24_s4_8e52bd94feb8,sensitivity_refined_mean,24,4,24,4,0.0565695237508088,6.876976956346655e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_refined_mean_k32_s4_3fde42f16044,sensitivity_refined_mean,32,4,31,4,0.0425738727570741,6.335518746022309e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_initial_mean_k32_s6_f0a46ef49587,sensitivity_initial_mean,32,6,32,6,0.0312206170853756,5.921483716803632e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14104_block_8x8,ieee14,ieee14_eval_seed_14104_block_8x8__sensitivity_initial_mean_k32_s8_f0a46ef49587,sensitivity_initial_mean,32,8,32,6,0.0312206170853756,5.921483716803632e-05,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k8_s2_239e7a9180fc,sensitivity_initial_mean,8,2,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k8_s3_239e7a9180fc,sensitivity_initial_mean,8,3,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k8_s4_239e7a9180fc,sensitivity_initial_mean,8,4,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k8_s6_239e7a9180fc,sensitivity_initial_mean,8,6,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
ieee14_eval_seed_14105_block_8x8,ieee14,ieee14_eval_seed_14105_block_8x8__sensitivity_initial_mean_k8_s8_239e7a9180fc,sensitivity_initial_mean,8,8,8,1,0.2931663419024951,0.0003703023624503,,median_heldout_normalized_error_absolute_not_signed,True
