instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,median_normalized_error,median_absolute_error,random_replicate,accuracy_objective,signal_unitary_gate_count,signal_unitary_depth,controlled_rotations,resource_record_type,resource_status,missing_resource_cost_is_zero,nondominated
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_mean_k8_s8_239e7a9180fc,sensitivity_refined_mean,8,8,8,1,0.3127140272730715,0.0004960121310145,,median_heldout_normalized_error_absolute_not_signed,588.0,354.0,8.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s2_72435e6abe4b,sensitivity_initial_worst_case,8,2,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s3_72435e6abe4b,sensitivity_initial_worst_case,8,3,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s4_72435e6abe4b,sensitivity_initial_worst_case,8,4,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s6_72435e6abe4b,sensitivity_initial_worst_case,8,6,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k8_s8_72435e6abe4b,sensitivity_initial_worst_case,8,8,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s2_72435e6abe4b,sensitivity_refined_worst_case,8,2,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s3_72435e6abe4b,sensitivity_refined_worst_case,8,3,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s4_72435e6abe4b,sensitivity_refined_worst_case,8,4,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s6_72435e6abe4b,sensitivity_refined_worst_case,8,6,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k8_s8_72435e6abe4b,sensitivity_refined_worst_case,8,8,8,1,0.4539679222560042,0.000669925347338,,median_heldout_normalized_error_absolute_not_signed,591.0,356.0,8.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k12_s2_cd4de53cfb8f,balanced_magnitude,12,2,12,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1008.0,608.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__leverage_weighted_k12_s2_cd4de53cfb8f,leverage_weighted,12,2,12,2,0.3317478867456548,0.0004194678622529,,median_heldout_normalized_error_absolute_not_signed,1008.0,608.0,16.0,executed_sparse_signal_unitary,completed,False,False
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k16_s2_7a48a1200e74,sensitivity_initial_worst_case,16,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k24_s2_7a48a1200e74,sensitivity_initial_worst_case,24,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_initial_worst_case_k32_s2_7a48a1200e74,sensitivity_initial_worst_case,32,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k16_s2_7a48a1200e74,sensitivity_refined_worst_case,16,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k24_s2_7a48a1200e74,sensitivity_refined_worst_case,24,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__sensitivity_refined_worst_case_k32_s2_7a48a1200e74,sensitivity_refined_worst_case,32,2,16,2,0.3049339774867449,0.0003879630144223,,median_heldout_normalized_error_absolute_not_signed,1027.0,612.0,16.0,executed_sparse_signal_unitary,completed,False,True
