instance_id,ieee_case,support_id,selector,k_budget,slot_budget,actual_nonzeros,slot_count,support_fingerprint,random_replicate,heldout_task_count,median_absolute_error,mean_absolute_error,p90_absolute_error,worst_absolute_error,median_normalized_error,mean_normalized_error,p90_normalized_error,worst_normalized_error,failure_fraction,certificate_coverage,median_certificate_tightness,worst_certificate_tightness,status,failure_reason
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s2_15456ab4ce3b,balanced_magnitude,24,2,15,2,15456ab4ce3b15643a4e13d8087e65680d27934a1999689e86505a5322cefe1d,,60,0.00041946786225294697,0.0005867288463471688,0.0013716400817888037,0.001974933104218894,0.3317478867456548,2.335299033595484,5.4292565425605215,52.324332986419044,0.7333333333333333,1.0,180.28523784811776,42076.52429699524,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s3_d2471d0644c6,balanced_magnitude,24,3,22,3,d2471d0644c6ebebc8b4e6834fdd014423c5c386705f2e5b0b885a7779a582b7,,60,0.00025049954801580293,0.0002917185718939115,0.0006355589461405335,0.0008627519046940844,0.17016086038782824,1.329796597618209,2.7235923982803167,33.23253119633315,0.6166666666666667,1.0,276.94931575603067,13856.444832484482,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s4_53a2e0a7d162,balanced_magnitude,24,4,24,4,53a2e0a7d162bd4c4cdbbd24a104c3341d03407be5cd827fd02a56dc86e5b150,,60,0.00022173519125315527,0.0002604187554455592,0.0005603414411994961,0.0008627519046940844,0.15030658879533693,0.9706711571960824,2.553444357406505,14.55005083182705,0.5833333333333334,1.0,253.733031025326,10478.516894026568,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s6_ff46166341ad,balanced_magnitude,24,6,24,5,ff46166341adddc21367b3edd4f3d84c37d39023c09983a129b7762a798eb6a4,,60,0.0002727522668478263,0.0003388802743683928,0.0006753694582729049,0.0011731234364730997,0.19196460241116384,2.4862290029365623,2.9128054556774474,99.02979246545989,0.65,1.0,183.86568731062994,32892.677607702586,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k24_s8_ff46166341ad,balanced_magnitude,24,8,24,5,ff46166341adddc21367b3edd4f3d84c37d39023c09983a129b7762a798eb6a4,,60,0.0002727522668478263,0.0003388802743683928,0.0006753694582729049,0.0011731234364730997,0.19196460241116384,2.4862290029365623,2.9128054556774474,99.02979246545989,0.65,1.0,183.86568731062994,32892.677607702586,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s2_15456ab4ce3b,balanced_magnitude,32,2,15,2,15456ab4ce3b15643a4e13d8087e65680d27934a1999689e86505a5322cefe1d,,60,0.00041946786225294697,0.0005867288463471688,0.0013716400817888037,0.001974933104218894,0.3317478867456548,2.335299033595484,5.4292565425605215,52.324332986419044,0.7333333333333333,1.0,180.28523784811776,42076.52429699524,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s3_d2471d0644c6,balanced_magnitude,32,3,22,3,d2471d0644c6ebebc8b4e6834fdd014423c5c386705f2e5b0b885a7779a582b7,,60,0.00025049954801580293,0.0002917185718939115,0.0006355589461405335,0.0008627519046940844,0.17016086038782824,1.329796597618209,2.7235923982803167,33.23253119633315,0.6166666666666667,1.0,276.94931575603067,13856.444832484482,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s4_c366faf643b7,balanced_magnitude,32,4,30,4,c366faf643b77d4e2ccf3bcfc0b330e92eb54a0c2a4feaba00acbbb9a89836a3,,60,9.092076474920112e-05,0.00011573512551439833,0.00026393391598083886,0.000427714257866339,0.06005027554112062,0.5523023857883054,0.8694569213441984,12.726677597426674,0.38333333333333336,1.0,544.5862339728743,14416.266357332306,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s6_b5a6fe5f0dce,balanced_magnitude,32,6,32,5,b5a6fe5f0dcea746c63adeda38102406ae4a6add358b907aaf079ea1225135d8,,60,0.00013084181590238288,0.0001783999997931024,0.00037778898601500206,0.0010991521899883245,0.09282154693508944,0.26658598978086856,0.7608866288836658,2.1067268200098983,0.4666666666666667,1.0,346.4037718347246,5492.01793411418,completed,
ieee14_eval_seed_14101_block_8x8,ieee14,ieee14_eval_seed_14101_block_8x8__balanced_magnitude_k32_s8_b5a6fe5f0dce,balanced_magnitude,32,8,32,5,b5a6fe5f0dcea746c63adeda38102406ae4a6add358b907aaf079ea1225135d8,,60,0.00013084181590238288,0.0001783999997931024,0.00037778898601500206,0.0010991521899883245,0.09282154693508944,0.26658598978086856,0.7608866288836658,2.1067268200098983,0.4666666666666667,1.0,346.4037718347246,5492.01793411418,completed,
