scenario,seed,matched,statevector_final_rmse,finite_shot_final_rmse,delta_final_rmse,absolute_final_rmse_difference,max_state_rmse_difference,final_state_norm_difference,max_trajectory_state_norm_difference,max_selected_coordinate_state_norm_difference,max_selected_output_difference,final_selected_output_difference,max_step_norm_difference,mean_step_norm_difference,max_update_vector_norm_difference,mean_update_vector_norm_difference,median_coordinate_readout_abs_error,max_coordinate_readout_abs_error,interference_acceptance_mean,interference_acceptance_std,direct_postselection_mean,direct_postselection_std,iterations
gaussian_noise_baseline,101,True,0.005945946501217822,0.005946118838573386,1.7233735556416302e-07,1.7233735556416302e-07,8.866509787815863e-07,2.768856520672697e-05,2.7707079659781068e-05,2.7707079659781068e-05,1.435240686000188e-05,1.7302311236262313e-08,1.319468887915837e-05,3.8872728810204315e-06,2.007009823718091e-05,7.049804666231436e-06,2.539914479558129e-06,1.2252962102982004e-05,0.715576875,0.04331268949724059,0.42936343750000006,0.0878349788527247,8
gaussian_noise_baseline,202,True,0.005851767358077131,0.005851299577771923,-4.6778030520812364e-07,4.6778030520812364e-07,4.0846665027519796e-07,2.069420244359589e-05,4.4570785967552484e-05,4.4570785967552484e-05,3.797636965152326e-05,1.7322611285002822e-07,3.150057017212594e-05,6.361686283308599e-06,4.457078596755141e-05,1.3149905192765433e-05,1.989167328845425e-06,3.797636965152326e-05,0.72663875,0.07373746811958966,0.45264,0.14804737757302558,8
gaussian_noise_baseline,303,True,0.006112836692626638,0.006112982077478417,1.4538485177892357e-07,1.4538485177892357e-07,3.9252144687657725e-06,3.403047166898123e-05,7.161740083780162e-05,7.161740083780162e-05,5.4887667910240995e-05,7.311971289243125e-07,3.991168489471484e-05,1.0637664740479309e-05,7.16174008377694e-05,1.9793811253537876e-05,1.6779125980184668e-06,5.4887667910240995e-05,0.7399437499999999,0.06581588442152472,0.48001812499999996,0.13257265245039934,8
random_missing_measurement_stress,101,True,0.005945946501217822,0.005946118838573386,1.7233735556416302e-07,1.7233735556416302e-07,8.866509787815863e-07,2.768856520672697e-05,2.7707079659781068e-05,2.7707079659781068e-05,1.435240686000188e-05,1.7302311236262313e-08,1.319468887915837e-05,3.8872728810204315e-06,2.007009823718091e-05,7.049804666231436e-06,2.539914479558129e-06,1.2252962102982004e-05,0.715576875,0.04331268949724059,0.42936343750000006,0.0878349788527247,8
random_missing_measurement_stress,202,True,0.0060138619353159815,0.006014141433589527,2.794982735454185e-07,2.794982735454185e-07,2.678057432177819e-07,9.046407044168038e-06,1.0201425734839664e-05,1.0201425734839664e-05,2.921073924782658e-06,1.4130694479211431e-07,2.650538305101432e-06,9.79026206146373e-07,7.6024201268194635e-06,2.369339016157791e-06,8.405784212385563e-07,5.757816195186205e-06,0.6044240624999999,0.14086281453198035,0.209924375,0.2814760208474416,8
random_missing_measurement_stress,303,True,0.006120706821968002,0.006118945684363192,-1.7611376048106558e-06,1.7611376048106558e-06,1.6679272071065676e-06,5.129092965759967e-05,5.7831005766321654e-05,5.7831005766321654e-05,3.4220165635720445e-05,2.6893934510882794e-07,8.439539519650152e-06,2.9082799380327493e-06,4.7226230676773884e-05,1.1740371726008168e-05,1.107447911080975e-06,3.4220165635720445e-05,0.7824071874999999,0.05915595020971976,0.56461875,0.11828762925994207,8
sparse_signed_bad_data_stress,101,True,0.005945946501217822,0.005946118838573386,1.7233735556416302e-07,1.7233735556416302e-07,8.866509787815863e-07,2.768856520672697e-05,2.7707079659781068e-05,2.7707079659781068e-05,1.435240686000188e-05,1.7302311236262313e-08,1.319468887915837e-05,3.8872728810204315e-06,2.007009823718091e-05,7.049804666231436e-06,2.539914479558129e-06,1.2252962102982004e-05,0.715576875,0.04331268949724059,0.42936343750000006,0.0878349788527247,8
sparse_signed_bad_data_stress,202,True,0.005851767358077131,0.005851299577771923,-4.6778030520812364e-07,4.6778030520812364e-07,4.0846665027519796e-07,2.069420244359589e-05,4.4570785967552484e-05,4.4570785967552484e-05,3.797636965152326e-05,1.7322611285002822e-07,3.150057017212594e-05,6.361686283308599e-06,4.457078596755141e-05,1.3149905192765433e-05,1.989167328845425e-06,3.797636965152326e-05,0.72663875,0.07373746811958966,0.45264,0.14804737757302558,8
sparse_signed_bad_data_stress,303,True,0.006112836692626638,0.006112982077478417,1.4538485177892357e-07,1.4538485177892357e-07,3.9252144687657725e-06,3.403047166898123e-05,7.161740083780162e-05,7.161740083780162e-05,5.4887667910240995e-05,7.311971289243125e-07,3.991168489471484e-05,1.0637664740479309e-05,7.16174008377694e-05,1.9793811253537876e-05,1.6779125980184668e-06,5.4887667910240995e-05,0.7399437499999999,0.06581588442152472,0.48001812499999996,0.13257265245039934,8
