case_name,block_size,selection_rule,alpha,full_selected_functional,block_selected_functional,relative_discrepancy_vs_full,selected_coordinate_vector_relative_discrepancy,out_of_block_coupling_fraction,functional_column_leakage,kappa_effective,magnitude_class
ieee14,4,largest_row_col_norms,366448.36483477196,-0.0048382784120727836,-0.004259018143057706,0.11972445975197912,0.16927481448307677,0.21616639270053686,0.22543776567525334,7.612879007904524,0.05_to_0.5
ieee14,4,column_leverage,178521.7801462006,-0.005354014553857626,-0.0035278889988225996,0.3410759415510522,0.6604922259428284,0.5597227941719051,0.548162454894542,12.033543219194064,0.05_to_0.5
ieee14,4,seeded_random,27345.953527147372,0.0042162466776147715,0.0004390124843417307,0.8958759963755037,1.1660907072223565,0.9471526828041792,0.9981246032893172,74.98051452547011,above_0.5
ieee14,8,largest_row_col_norms,507204.47563585435,0.004393109075087854,0.003937581251108952,0.10369144407592305,0.21818519707197404,0.16707905883043245,0.503581470969525,132.83928362164585,0.05_to_0.5
ieee14,8,column_leverage,180910.10942006926,-0.00534614048025998,-0.007661351701465127,0.43306217443290207,0.4453854653279563,0.6195373462558602,0.5395003837817627,469.6263771357725,0.05_to_0.5
ieee14,8,seeded_random,22453.863140905334,0.0033590661486535786,0.004111702026008699,0.22406104674562624,0.8465262890408198,0.8777452416021934,0.7647140542666014,4.913148331010144,0.05_to_0.5
ieee14,16,largest_row_col_norms,510132.58730168565,0.004389429505603445,0.0043780333439992795,0.0025962739781142836,0.5147014232497392,0.13308634401167826,0.2146879164711942,91.11766711809236,below_0.05
ieee14,16,column_leverage,319850.7199553553,0.0013287056832395506,-0.0016599905220888954,2.249328984611273,0.4477462446996405,0.3273408478296401,0.8093468208804144,704.768265398505,above_0.5
ieee14,16,seeded_random,117266.49190729218,0.004921384147702987,0.0024832754474685944,0.4954111743892942,0.7271105446932967,0.6564044979136786,0.8405957090854821,121.34546922064493,0.05_to_0.5
ieee30,4,largest_row_col_norms,589251.5205043,-0.002698925462333383,-0.0024266724896234116,0.10087458009106791,1.1281091750371528,0.41648499867768846,0.40726797318142266,1.3309885662638767,0.05_to_0.5
ieee30,4,column_leverage,161582.70625498754,-0.005188411168155164,0.005025929122845064,1.9686836605573275,1.694617679462784,0.845180434631284,0.9192294985649904,39.57549120502203,above_0.5
ieee30,4,seeded_random,1687.0521541931312,-0.0025390871832541993,0.0,1.0,0.6707634899294779,0.987675813371617,0.9999999999999998,1.0,above_0.5
ieee30,8,largest_row_col_norms,1475634.2982262145,-0.00417714779714883,0.0005650720253905544,1.1352770006788488,0.5730797143280238,0.204019468634723,0.9192294985649904,11.778160054964708,above_0.5
ieee30,8,column_leverage,161687.85001523586,-0.005188127535032998,0.0049916997919020245,1.9621389910320077,1.4336457567726637,0.7406490287497952,0.9171758766090318,23.168669821141776,above_0.5
ieee30,8,seeded_random,95114.07887637282,0.0027292832531097804,0.010613136489438263,2.8886167191864454,1.1284523438646454,0.8072187059706953,0.5653932603763621,3990.935098444577,above_0.5
