estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
truncated_svd,0.01186017056382246,0.015260210501727269,0.007418876105865686,4.530358137612913,4.530358137612913,84.50012497549167,27,27,0.04936891699617263,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,84.50012497549167,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
qsvt_regularized,0.01186017056381838,0.015260210501722287,0.00741887610586262,4.530358137612913,4.530358137612913,84.50012497545558,27,27,0.048369666998041794,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,84.50012497545558,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
huber_irls,0.0044699622292512075,0.005805026398241451,0.002691214192775314,4.721303852460014,4.721303852460014,86.84359788816093,27,27,0.04973575000622077,5,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,86.84359788816093,nonlinear_noise_sweep_0p0_seed303,nonlinear_noise_sweep,scenario.noise_std,0.0,303
pseudoinverse,0.0051821959229009186,0.006718772653585176,0.0031423875833126195,4.716838631673145,4.716838631673145,52.43506165932712,27,27,0.04098829100257717,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,52.43506165932712,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
ridge,0.005182195922901076,0.0067187726535854865,0.003142387583312504,4.716838631673141,4.716838631673141,52.43506165932439,27,27,0.04019933300151024,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,52.43506165932439,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
truncated_svd,0.005182195922900935,0.006718772653585201,0.003142387583312621,4.716838631673142,4.716838631673142,52.43506165932709,27,27,0.04076283299946226,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,52.43506165932709,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
qsvt_regularized,0.005182195922901076,0.0067187726535854865,0.003142387583312504,4.716838631673141,4.716838631673141,52.43506165932439,27,27,0.04080375000194181,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,52.43506165932439,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
huber_irls,0.0017583876971511512,0.002279966407471616,0.0010658607613001575,4.842983694858419,4.842983694858419,52.682396313001995,27,27,0.04036295900004916,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,52.682396313001995,nonlinear_noise_sweep_0p0_seed404,nonlinear_noise_sweep,scenario.noise_std,0.0,404
pseudoinverse,0.0023616542168230785,0.0014245320763120082,0.002978605810033191,4.89860361961588,4.89860361961588,54.04310835011658,27,27,0.04109625000273809,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.04310835011658,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
ridge,0.0023616542168237932,0.001424532076313313,0.0029786058100337047,4.898603619615912,4.898603619615912,54.043108350117194,27,27,0.04142345800210023,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.043108350117194,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
truncated_svd,0.0023616542168230785,0.0014245320763120082,0.002978605810033191,4.89860361961588,4.89860361961588,54.04310835011658,27,27,0.04048266600148054,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.04310835011658,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
qsvt_regularized,0.0023616542168237932,0.001424532076313313,0.0029786058100337047,4.898603619615912,4.898603619615912,54.043108350117194,27,27,0.04086129099596292,4,True,False,,ieee14,pypower,pypower.case14.case14,True,nonlinear_ac_state_estimation,74,27,nonlinear_ac_ieee14,0.0,0.1,0.05,1,5.0,weak_area,,54.043108350117194,nonlinear_noise_sweep_0p0_seed505,nonlinear_noise_sweep,scenario.noise_std,0.0,505
