matrix_id,experiment_family,ieee_case,structural_group_id,matrix_fingerprint,recomputed_matrix_fingerprint,matrix_fingerprint_matches,source_artifact,source_row_locator,configuration_id,matrix_shape,numerical_rank,effective_rank,rank_deficient,sigma_max,sigma_min,smallest_computed_singular_value,singular_threshold,singular_threshold_rule,raw_condition_number,thresholded_condition_number,alpha,regularized_condition_number,max_ridge_filter_response_global,max_ridge_filter_response_actual,effective_dimension,residual_count,ridge_solve_residual_median,ridge_solve_residual_p90,ridge_solve_residual_max,raw_conditioning_label,regularized_conditioning_label,ridge_filter_label
output_aware_generalization:ieee30_eval_seed_30105_block_8x8,output_aware_generalization,ieee30,,45e39630351bde0b62dbc3ad9fa31761043257f0477a8ec0719fade1794ef9ca,45e39630351bde0b62dbc3ad9fa31761043257f0477a8ec0719fade1794ef9ca,true,outputs/output_aware_generalization/instances/ieee30_eval_seed_30105_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,2.9349339135583743,false,4669.6328566420325,27.290630716058068,27.290630716058068,8.294934262384204e-12,"max(m,n)*float64_epsilon*sigma_max",171.1075462207759,171.1075462207759,2566728.5367426006,9.492678816813456,0.0003120901304875347,0.0003115923799635072,2.9074181577591434,40,1.237825332480879e-16,1.9919858700622242e-16,2.9716469727154097e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_generalization:ieee57_eval_seed_57101_block_8x8,output_aware_generalization,ieee57,,99e4372a77ed909e09f54abb66761918576bcdb7898674ea8421f554bfd4a9f9,99e4372a77ed909e09f54abb66761918576bcdb7898674ea8421f554bfd4a9f9,true,outputs/output_aware_generalization/instances/ieee57_eval_seed_57101_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,3.2296691717468113,false,6152.930633891458,20.910315097301048,20.910315097301048,1.0929800413868409e-11,"max(m,n)*float64_epsilon*sigma_max",294.2533675489966,294.2533675489966,4251138.845020887,9.904490329176662,0.00024250313621390954,0.00023454424966722734,3.175697490072163,40,9.913660919362714e-17,1.719800088926375e-16,2.0359490604123602e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_generalization:ieee57_eval_seed_57102_block_8x8,output_aware_generalization,ieee57,,6bd6a64145d74f271eada30fea6f699ef09b06d593a730475a2ec93718aea577,6bd6a64145d74f271eada30fea6f699ef09b06d593a730475a2ec93718aea577,true,outputs/output_aware_generalization/instances/ieee57_eval_seed_57102_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,3.23482955752,false,6138.427992292795,20.619012974046793,20.619012974046793,1.0904038547275255e-11,"max(m,n)*float64_epsilon*sigma_max",297.707169592417,297.707169592417,4252618.689544815,9.859507343510142,0.00024246093890093487,0.00023417528881556376,3.1797241215940204,40,1.1925919831874452e-16,1.8137659874745913e-16,2.82738258041853e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_generalization:ieee57_eval_seed_57103_block_8x8,output_aware_generalization,ieee57,,d26cf7250ead7ca53f3731831b7a5c3ef455bbc4f4d3bd78647f02d885542729,d26cf7250ead7ca53f3731831b7a5c3ef455bbc4f4d3bd78647f02d885542729,true,outputs/output_aware_generalization/instances/ieee57_eval_seed_57103_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,3.225956513413991,false,6138.795620968729,20.826349011581268,20.826349011581268,1.090469158698811e-11,"max(m,n)*float64_epsilon*sigma_max",294.7610076809441,294.7610076809441,4209949.92052126,9.950343010562989,0.00024368653878853322,0.00023575532440483417,3.1803191612158193,40,8.638459100680969e-17,1.6571647573726196e-16,2.638651422923765e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_generalization:ieee57_eval_seed_57104_block_8x8,output_aware_generalization,ieee57,,723b5ca179bb068d8d73e8d93290e3b1344f49c663c8ca71fba43476f355723d,723b5ca179bb068d8d73e8d93290e3b1344f49c663c8ca71fba43476f355723d,true,outputs/output_aware_generalization/instances/ieee57_eval_seed_57104_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,3.2496108407854027,false,6089.556646358663,20.790571157116013,20.790571157116013,1.0817225597674463e-11,"max(m,n)*float64_epsilon*sigma_max",292.8999208506296,292.8999208506296,4142094.38214921,9.951606401955127,0.00024567445939534477,0.00023625720500840606,3.1966965888013488,40,1.1570616675763173e-16,1.6476916130029779e-16,2.631339280114461e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_generalization:ieee57_eval_seed_57105_block_8x8,output_aware_generalization,ieee57,,ca9090daefa0681cb965d288c31eef97269d51361f6b654a8f0448ad3d3d77d7,ca9090daefa0681cb965d288c31eef97269d51361f6b654a8f0448ad3d3d77d7,true,outputs/output_aware_generalization/instances/ieee57_eval_seed_57105_block_8x8.json,$.matrix,cfg:output_aware_generalization:study,8x8,8,3.242290085600852,false,6002.4888614730025,20.488120467451473,20.488120467451473,1.066256214250139e-11,"max(m,n)*float64_epsilon*sigma_max",292.9741100951099,292.9741100951099,4033656.1557094194,9.931277817854413,0.00024895483606635955,0.0002394880531655871,3.196476839418229,40,9.802818392407969e-17,1.9066491334261002e-16,3.1045522671758783e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_sparse_selection:development_ieee14_seed123_8x8,output_aware_sparse_selection,ieee14,,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,b158d34b86b778f0c290519ca98985345107012e225798a4cfc7fbf9178df7f9,true,outputs/sparse_error_precision_study/matrix_original.npy,array,cfg:output_aware_sparse_selection:study,8x8,8,3.6164884091848224,false,2710.8811047794657,20.40722466179977,20.40722466179977,4.815492191275911e-12,"max(m,n)*float64_epsilon*sigma_max",132.83928362164585,132.83928362164585,1134521.3658711074,7.474768727830003,0.00046942224353833364,0.00046312830061585907,3.262177246280636,40,1.1502850564797773e-16,1.7159233718207786e-16,1.9923207743189942e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_01_realization_01_seed_14201_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_01,954dcecbdfc1e0d5a48e875139bbce2aa0421fcb82ba4f61518558946e2979f1,954dcecbdfc1e0d5a48e875139bbce2aa0421fcb82ba4f61518558946e2979f1,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_01_realization_01_seed_14201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,3.542513829911644,true,886.2935971818898,0.0,3.783493754226388e-15,1.5743736930707005e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,116.27785752750967,206842.98589197322,4.797645528168219,0.0010993844885608171,0.001089705954108795,2.4508992082047474,40,1.0588891312350134e-16,1.763213061554951e-16,2.9450486923424756e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_01_realization_02_seed_14202_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_01,c1399edcdd1ed5a9afa270eac5fa19070427e251318d30ebe43b86c8828b6116,c1399edcdd1ed5a9afa270eac5fa19070427e251318d30ebe43b86c8828b6116,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_01_realization_02_seed_14202_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,3.5215878113582084,true,894.2567820762142,0.0,3.739977010354994e-14,1.5885191510211424e-12,"max(m,n)*float64_epsilon*sigma_max",infinity,117.27633396622544,208117.01451159845,4.842526735096608,0.0010960142752326815,0.001086425294028109,2.446873886447977,40,9.158088406936971e-17,1.7373137711986162e-16,2.443459095687228e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
output_aware_structural_generalization:ieee14_structural_group_02_realization_01_seed_14201_8x8,output_aware_structural_generalization,ieee14,ieee14_structural_group_02,7833623190ebace3a6e39b45d275e9a665b311f04e4a34ebaf459c572557395e,7833623190ebace3a6e39b45d275e9a665b311f04e4a34ebaf459c572557395e,true,outputs/output_aware_structural_generalization/instances/ieee14_structural_group_02_realization_01_seed_14201_8x8.json,$.matrix,cfg:output_aware_structural_generalization:study,8x8,7,4.001111775948937,true,412.96922997162244,0.0,0.0,7.335807161219464e-13,"max(m,n)*float64_epsilon*sigma_max",infinity,6.6580345804295415,72402.59606581759,3.3554899156975275,0.0018582020508970368,0.0018561873539689117,2.3249501017541863,40,2.81941787133166e-17,1.3726428796278091e-16,1.8981636026382273e-16,raw_matrix_conditioning,regularized_normal_system_conditioning,ridge_filter_amplification
