task_id,instance_id,ieee_case,structural_group_id,realization_order,residual_seed,functional_id,selector,reference_output,sparse_ridge_output,absolute_error,normalized_error,failure_above_frozen_threshold,near_zero_threshold,near_zero_flag,paired_sensitivity_vs_magnitude_outcome,included_in_original_primary_evidence
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502002_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502002.0,coordinate_e0,sensitivity_initial_mean,0.0003888857045739,0.0003888857045739,7.589415207398531e-19,1.9515798904755128e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502002_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502002.0,signed_difference_e0_minus_e1,balanced_magnitude,0.0005574553594424,0.0005586676024498,1.2122430073833144e-06,0.0021746010453569,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502002_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502002.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,0.0005574553594424,0.0005586676024498,1.2122430073833144e-06,0.0021746010453569,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,aggregate_e0_to_e3,balanced_magnitude,-0.0010805848779826,-0.0012792688831441,0.0001986840051615,0.1838670975411324,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0010805848779826,-0.0012792688831441,0.0001986840051615,0.1838670975411324,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,coordinate_e0,balanced_magnitude,-0.0003179792606179,-0.0003179792606179,6.505213034913029e-19,2.0457978996085568e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,coordinate_e0,sensitivity_initial_mean,-0.0003179792606179,-0.0003179792606179,6.505213034913029e-19,2.0457978996085568e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,signed_difference_e0_minus_e1,balanced_magnitude,0.0010535062410345,0.0011218314404202,6.832519938567805e-05,0.0648550494761004,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502003_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502003.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,0.0010535062410345,0.0011218314404202,6.832519938567805e-05,0.0648550494761004,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,aggregate_e0_to_e3,balanced_magnitude,-0.0010118016578646,-0.0007411934336585,0.0002706082242061,0.2674518489890611,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0010118016578646,-0.0007411934336585,0.0002706082242061,0.2674518489890611,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,coordinate_e0,balanced_magnitude,9.6436510186368e-05,9.643651018636796e-05,2.710505431213761e-20,2.8106631253822694e-16,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,coordinate_e0,sensitivity_initial_mean,9.6436510186368e-05,9.643651018636796e-05,2.710505431213761e-20,2.8106631253822694e-16,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,signed_difference_e0_minus_e1,balanced_magnitude,0.0016195179965895,0.001569059895239,5.0458101350557474e-05,0.0311562461527527,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502004_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502004.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,0.0016195179965895,0.001569059895239,5.0458101350557474e-05,0.0311562461527527,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,aggregate_e0_to_e3,balanced_magnitude,-0.0045147197164676,-0.0043109541690767,0.0002037655473909,0.0451335985814754,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0045147197164676,-0.0043109541690767,0.0002037655473909,0.0451335985814754,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,coordinate_e0,balanced_magnitude,-0.0004400232999211,-0.0004400232999211,2.710505431213761e-19,6.159913422082897e-16,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,coordinate_e0,sensitivity_initial_mean,-0.0004400232999211,-0.0004400232999211,2.710505431213761e-19,6.159913422082897e-16,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,signed_difference_e0_minus_e1,balanced_magnitude,-0.0006946676327393,-0.0007360733113483,4.1405678608989315e-05,0.0596050206711254,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502005_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502005.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,-0.0006946676327393,-0.0007360733113483,4.1405678608989315e-05,0.0596050206711254,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,aggregate_e0_to_e3,balanced_magnitude,-0.0024986601438305,-0.0029666638549423,0.0004680037111117,0.1873018674697726,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0024986601438305,-0.0029666638549423,0.0004680037111117,0.1873018674697726,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,coordinate_e0,balanced_magnitude,0.0003796884315086,0.0003796884315086,8.673617379884035e-19,2.2844039112330593e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,coordinate_e0,sensitivity_initial_mean,0.0003796884315086,0.0003796884315086,8.673617379884035e-19,2.2844039112330593e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,signed_difference_e0_minus_e1,balanced_magnitude,-0.0011722876275399,-0.0010511476558444,0.0001211399716955,0.1033363901910167,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502006_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502006.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,-0.0011722876275399,-0.0010511476558444,0.0001211399716955,0.1033363901910167,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,aggregate_e0_to_e3,balanced_magnitude,0.0045110786783026,0.0044868460046872,2.4232673615362178e-05,0.0053718135602281,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,aggregate_e0_to_e3,sensitivity_initial_mean,0.0045110786783026,0.0044868460046872,2.4232673615362178e-05,0.0053718135602281,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,coordinate_e0,balanced_magnitude,-3.323498692028619e-05,-3.3234986920285676e-05,5.149960319306146e-19,1.5495599055472113e-14,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,coordinate_e0,sensitivity_initial_mean,-3.323498692028619e-05,-3.3234986920285676e-05,5.149960319306146e-19,1.5495599055472113e-14,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,signed_difference_e0_minus_e1,balanced_magnitude,-0.0005996146138722,-0.0006075799080017,7.965294129437463e-06,0.0132840226791635,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502007_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502007.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,-0.0005996146138722,-0.0006075799080017,7.965294129437463e-06,0.0132840226791635,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,aggregate_e0_to_e3,balanced_magnitude,-0.0016181511738239,-0.0011858030448554,0.0004323481289684,0.2671864878648967,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0016181511738239,-0.0011858030448554,0.0004323481289684,0.2671864878648967,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,coordinate_e0,balanced_magnitude,-0.0002869579187646,-0.0002869579187646,4.33680868994202e-19,1.5113047615525706e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,coordinate_e0,sensitivity_initial_mean,-0.0002869579187646,-0.0002869579187646,4.33680868994202e-19,1.5113047615525706e-15,false,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,signed_difference_e0_minus_e1,balanced_magnitude,-0.0005441929402457,-0.0006398123272621,9.56193870164186e-05,0.1757086135171838,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502008_signed_difference_e0_minus_e1,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502008.0,signed_difference_e0_minus_e1,sensitivity_initial_mean,-0.0005441929402457,-0.0006398123272621,9.56193870164186e-05,0.1757086135171838,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502009_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502009.0,aggregate_e0_to_e3,balanced_magnitude,-0.0007148632514313,-0.0003086242090434,0.0004062390423878,0.5682751793080583,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502009_aggregate_e0_to_e3,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502009.0,aggregate_e0_to_e3,sensitivity_initial_mean,-0.0007148632514313,-0.0003086242090434,0.0004062390423878,0.5682751793080583,true,1e-06,false,tie,true
ieee14_structural_group_01_realization_01_seed_14201_8x8_held_out_seed14502009_coordinate_e0,ieee14_structural_group_01_realization_01_seed_14201_8x8,ieee14,ieee14_structural_group_01,1,14502009.0,coordinate_e0,balanced_magnitude,0.0006209256854542,0.0006209256854542,8.673617379884035e-19,1.3968849385799204e-15,false,1e-06,false,tie,true
