estimator,rmse,angle_rmse,voltage_magnitude_rmse,residual_norm,weighted_residual,condition_number,rank,effective_rank,runtime_seconds,iterations,converged,failed,failure_reason,case_name,dataset_source,dataset_source_detail,external_case,mode,n_measurements,n_states,scenario_name,noise_std,missing_ratio,bad_data_ratio,bad_data_count,bad_data_magnitude,bad_data_target,target_condition_number,achieved_condition_number,trial_id,sweep_name,sweep_parameter,sweep_value,seed
pseudoinverse,0.0021140406484147878,0.0029886525438281497,0.00029083976968835584,4.960405726593861,4.960405726593861,227.1572256831145,113,113,0.8525352920041769,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,1,5.0,weak_area,,227.1572256831145,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
ridge,0.0021140406484153607,0.00298865254382908,0.00029083976968722063,4.960405726593859,4.960405726593859,227.15722568306674,113,113,0.8545778750049067,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,1,5.0,weak_area,,227.15722568306674,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
truncated_svd,0.002114040648414947,0.002988652543828402,0.00029083976968810696,4.960405726593856,4.960405726593856,227.15722568311466,113,113,0.8511458749999292,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,1,5.0,weak_area,,227.15722568311466,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
qsvt_regularized,0.0021140406484153607,0.00298865254382908,0.00029083976968722063,4.960405726593859,4.960405726593859,227.15722568306674,113,113,0.8588492499984568,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,1,5.0,weak_area,,227.15722568306674,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
huber_irls,0.0006443244910400243,0.0009111572220529686,8.592005233759615e-05,4.9795919544447385,4.9795919544447385,227.83141498648715,113,113,0.8883136250005919,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,1,5.0,weak_area,,227.83141498648715,nonlinear_noise_sweep_0p0_seed101,nonlinear_noise_sweep,scenario.noise_std,0.0,101
pseudoinverse,0.0036678059397368037,0.003635182959703602,0.0036995764529464464,6.867338171610186,6.867338171610186,234.99196757028557,113,113,1.2387192919995869,6,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,2,5.0,weak_area,,234.99196757028557,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
ridge,0.003667805939736845,0.003635182959703911,0.003699576452946227,6.867338171610183,6.867338171610183,234.9919675702853,113,113,1.2331833330026711,6,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,2,5.0,weak_area,,234.9919675702853,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
truncated_svd,0.003667805939736782,0.0036351829597035834,0.003699576452946421,6.867338171610181,6.867338171610181,234.9919675702857,113,113,1.2464117919953424,6,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,2,5.0,weak_area,,234.9919675702857,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
qsvt_regularized,0.003667805939736845,0.003635182959703911,0.003699576452946227,6.867338171610183,6.867338171610183,234.9919675702853,113,113,1.244027583998104,6,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,2,5.0,weak_area,,234.9919675702853,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
huber_irls,0.0012691396375640264,0.0012714346734016707,0.0012668808166857077,6.956929759483281,6.956929759483281,234.5837504470151,113,113,0.8712924999999814,4,True,False,,ieee57,pypower,pypower.case57.case57,True,nonlinear_ac_state_estimation,298,113,nonlinear_ac_ieee57,0.0,0.1,0.05,2,5.0,weak_area,,234.5837504470151,nonlinear_noise_sweep_0p0_seed202,nonlinear_noise_sweep,scenario.noise_std,0.0,202
