family,perturb_seed,matrix_shape,condition,alpha,lambda,degree,global_max_abs,C_global,phase_count,convention_block_error_vs_exact_svd,rmse_qsvt,rmse_ridge,rmse_ratio,postselection_probability_est,status
gaussian,0,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00026948316771119936,0.0002687532251048216,1.0027160329186489,0.0028669891053466666,STATEVECTOR_PASSED
gaussian,1,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00027474719143329884,0.0002737203963885857,1.00375125514306,0.0028508827099441958,STATEVECTOR_PASSED
gaussian,2,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00025318584957577817,0.0002517882158522969,1.005550830561114,0.002864328044864878,STATEVECTOR_PASSED
gaussian,3,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0002568993140850702,0.0002547015904808315,1.0086286214392683,0.00286619559022446,STATEVECTOR_PASSED
gaussian,4,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.000208732866289784,0.000207251268877306,1.0071487977878442,0.002848370159821534,STATEVECTOR_PASSED
gaussian,5,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.000255523812399773,0.0002535753963127042,1.0076837741965552,0.0028560680987529297,STATEVECTOR_PASSED
gaussian,6,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0002724636916048406,0.0002723131201274359,1.0005529350819904,0.0028481701000662427,STATEVECTOR_PASSED
gaussian,7,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00021827936039932826,0.00021895015963371527,0.9969362925539347,0.0028575693548114093,STATEVECTOR_PASSED
gaussian,8,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00022115019367819602,0.00021858202287469635,1.0117492315686543,0.002861207117996448,STATEVECTOR_PASSED
gaussian,9,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00020192936294227695,0.00020081196855537402,1.0055643814207957,0.0028557977334414306,STATEVECTOR_PASSED
gaussian,0,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0007356338680614659,0.0007353741509245151,1.0003531768646263,0.002914061311911061,STATEVECTOR_PASSED
gaussian,1,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0006130083512125962,0.0006119231064790606,1.0017734985360824,0.002832867310873336,STATEVECTOR_PASSED
gaussian,2,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0009736946343731711,0.0009728212729906784,1.0008977613943493,0.00290259852324295,STATEVECTOR_PASSED
gaussian,3,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0006251396284086417,0.000621823443999268,1.005332999971898,0.0029091479337115733,STATEVECTOR_PASSED
gaussian,4,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0005445329298079389,0.0005431488160771791,1.0025483139975457,0.0028204995841699227,STATEVECTOR_PASSED
gaussian,5,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0007667151810969987,0.0007643603282109438,1.0030808151589534,0.0028599172379684865,STATEVECTOR_PASSED
gaussian,6,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0007862430425879734,0.0007869501566227278,0.9991014500361889,0.0028203664656301437,STATEVECTOR_PASSED
gaussian,7,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.000726798445313031,0.0007290067300508206,0.9969708307937902,0.0028675918236198937,STATEVECTOR_PASSED
gaussian,8,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.0006446148616680751,0.0006414880838110504,1.0048742571155003,0.0028849578385018028,STATEVECTOR_PASSED
gaussian,9,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.00040186189197563386,0.0004008952884955972,1.0024111120977848,0.0028570955245070372,STATEVECTOR_PASSED
bad_data,0,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.015364037929119539,0.015365374188888304,0.999913034349028,0.0038208655943052223,STATEVECTOR_PASSED
bad_data,1,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.014185093937083879,0.014185637071638479,0.9999617123607591,0.003171480278794591,STATEVECTOR_PASSED
bad_data,2,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.016184772490721592,0.016189489093122855,0.999708662677733,0.004614610744346751,STATEVECTOR_PASSED
bad_data,3,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.019797244127254702,0.01979977509596741,0.9998721718453649,0.003210071838570157,STATEVECTOR_PASSED
bad_data,4,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.02350781357988738,0.023506497405339385,1.0000559919466223,0.005866261157588827,STATEVECTOR_PASSED
bad_data,5,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.024657955602753714,0.024664196571962314,0.9997469623958603,0.005776611534842615,STATEVECTOR_PASSED
bad_data,6,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.013928161673073437,0.013927092944794835,1.0000767373552284,0.002425640741035412,STATEVECTOR_PASSED
bad_data,7,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.019243646269149726,0.019248002492375158,0.9997736792050418,0.0041298883666696495,STATEVECTOR_PASSED
bad_data,8,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.013766477032505105,0.01376309362955373,1.0002458315726424,0.0035753791704006693,STATEVECTOR_PASSED
bad_data,9,82x27,34.0313434513747,76.87225449767783,1e-05,255,42.810445209652315,42.810445209652315,256,1.5581836336167246e-14,0.016276809493948996,0.016275494522713114,1.0000807945487646,0.003849891647863543,STATEVECTOR_PASSED
missing,0,74x27,37.00391894428213,74.57842994279042,1e-05,255,44.787611265507415,44.787611265507415,256,1.2093314176193571e-14,0.0002591025731747744,0.0002630618489305771,0.9849492589978429,0.0028485256946534842,STATEVECTOR_PASSED
missing,1,74x27,36.29445831875271,76.79055619736842,1e-05,255,44.3198522435541,44.3198522435541,256,2.710843410856143e-14,0.00025688801336126125,0.00023199554452836308,1.1072971848813022,0.0027413631216551236,STATEVECTOR_PASSED
missing,2,74x27,35.7408726807675,75.99215032221032,1e-05,255,43.95108406343056,43.95108406343056,256,1.8402877676724033e-14,0.0001826002186089944,0.0001850420456409699,0.9868039340814828,0.0032722077881293357,STATEVECTOR_PASSED
missing,3,74x27,36.171939904802684,74.73605025972233,1e-05,255,44.23842953463352,44.23842953463352,256,1.8961942904836935e-14,0.00023282432264040448,0.00023640686118813856,0.9848458774431128,0.002773435999277083,STATEVECTOR_PASSED
missing,4,74x27,35.708131026825676,76.68628270448225,1e-05,255,43.92950888946919,43.92950888946919,256,1.8185935748397086e-14,0.0002567087312759418,0.00025899320915264806,0.9911793908258042,0.0027787296771073565,STATEVECTOR_PASSED
missing,5,74x27,37.8042598736563,76.54725588321311,1e-05,255,45.31671318117054,45.31671318117054,256,1.35138140639976e-14,0.0002857896656451018,0.0002790109476955449,1.0242955267724971,0.0025692520013656755,STATEVECTOR_PASSED
missing,6,74x27,34.61231966626476,76.75082086844802,1e-05,255,43.19892601492129,43.19892601492129,256,2.1810610952289122e-14,0.00021213776216950795,0.00020472270247407482,1.0362200166655777,0.0032170931997164568,STATEVECTOR_PASSED
missing,7,74x27,34.37423435102977,73.90122315551815,1e-05,255,43.04043237360542,43.04043237360542,256,2.043850648847755e-14,0.0002301970416236118,0.000232267977786869,0.991083849857437,0.003144885893013654,STATEVECTOR_PASSED
missing,8,74x27,34.794727663580524,74.78456941426161,1e-05,255,43.32069090653332,43.32069090653332,256,1.9570489274741534e-14,0.00023687148368001907,0.00023209636555066,1.0205738599914302,0.0028793730482264577,STATEVECTOR_PASSED
missing,9,74x27,28.94881256507277,51.726491596909,1e-05,255,39.32097395191693,39.32097395191693,256,1.6178643319104285e-14,0.00017864877917375904,0.00017842907487454135,1.0012313256646777,0.0029144864870603057,STATEVECTOR_PASSED
