output,y_statevector,y_ridge,y_backend_shot,ci_low,ci_high,backend,shots,rel_err_vs_ridge
theta_2,0.004936899738471392,0.004938350292269935,0.004890098722460588,0.004783812678305701,0.004996384766615475,aer:AerSimulator,200000,0.009770787196865341
V_1,0.0034201087031567605,0.003420332973638135,0.0033715175310532236,0.003264092205221204,0.0034789428568852434,aer:AerSimulator,200000,0.014272131678743338
area_aggregate_angle,0.0004060824749066382,0.0004055151237177556,0.0006439615808412582,0.0005355393645101694,0.000752383797172347,aer:AerSimulator,200000,0.5880087897522283
