seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,best_imag_rel,best_real_rel,full_block_rel,degenerate_zero_reference,status
770006,2x1,2,1,1,random_decay,1.0,True,True,ridge_filter_d31,31,imag,1e-08,1.0208979209453617,1.594528524709311,1.7579058931782192,False,complex_unsupported
770006,2x1,2,1,1,random_decay,1.0,True,True,ridge_filter_d255,255,imag,1e-06,0.9787246439497161,1.2662511726866768,0.9528898250459903,False,complex_unsupported
770100,3x2,3,2,2,well_conditioned,1.1111111111111103,False,True,monomial_x1,1,neg_imag,1e-08,0.6792793412091457,0.8527773585320694,0.770026387860233,False,complex_unsupported
770100,3x2,3,2,2,well_conditioned,1.1111111111111103,False,True,monomial_x3,3,imag,1e-08,0.5325152949024923,0.5519958184367267,0.9074578637515825,False,complex_unsupported
770100,3x2,3,2,2,well_conditioned,1.1111111111111103,False,True,ridge_filter_d7,7,imag,1e-08,0.8974571447897925,1.1746768095242859,1.5705310692783918,False,complex_unsupported
770100,3x2,3,2,2,well_conditioned,1.1111111111111103,False,True,ridge_filter_d31,31,imag,1e-08,2.15524908048014,1.7505334211709536,2.320239593619684,False,complex_unsupported
770100,3x2,3,2,2,well_conditioned,1.1111111111111103,False,True,ridge_filter_d255,255,imag,1e-06,1.9029084919787447,1.81895720720231,2.151470452785545,False,complex_unsupported
770101,3x2,3,2,2,moderate_condition,3.3333333333333366,False,True,monomial_x1,1,neg_imag,1e-08,1.0222945963954528,0.765535616341274,0.7766076730357117,False,complex_unsupported
770101,3x2,3,2,2,moderate_condition,3.3333333333333366,False,True,monomial_x3,3,imag,1e-08,0.4866841031259385,0.8045149310450461,0.8840231666817129,False,complex_unsupported
770101,3x2,3,2,2,moderate_condition,3.3333333333333366,False,True,ridge_filter_d7,7,imag,1e-08,0.6810378069995261,0.9358946636106806,1.0185795884464537,False,complex_unsupported
770101,3x2,3,2,2,moderate_condition,3.3333333333333366,False,True,ridge_filter_d31,31,imag,1e-08,0.7272781922948446,0.9062143965270811,0.8962879926977031,False,complex_unsupported
770101,3x2,3,2,2,moderate_condition,3.3333333333333366,False,True,ridge_filter_d255,255,imag,1e-06,0.7585849551392553,0.9315656631654203,1.1958897163307858,False,complex_unsupported
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333834,False,True,monomial_x1,1,neg_imag,1e-08,1.4723308809057651,0.5216262169331776,1.09836383597965,False,complex_unsupported
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333834,False,True,monomial_x3,3,imag,1e-08,0.3800002096282248,1.0477325738542087,1.0983716831224337,False,complex_unsupported
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333834,False,True,ridge_filter_d7,7,imag,1e-08,0.892048334678433,2.556063436382727,2.5457905352366836,False,complex_unsupported
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333834,False,True,ridge_filter_d31,31,imag,1e-08,2.3490070634955686,3.395742723349548,4.023581902009041,False,complex_unsupported
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333834,False,True,ridge_filter_d255,255,imag,1e-06,1.9467495324499307,2.5274747276200342,3.1050560097142967,False,complex_unsupported
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,True,monomial_x1,1,neg_imag,1e-08,1.1720741212171562,0.5181291717529468,0.9928531374762792,False,complex_unsupported
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,True,monomial_x3,3,imag,1e-08,0.5165042516678371,1.1184148449661295,0.9928526166105569,False,complex_unsupported
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,True,ridge_filter_d7,7,imag,1e-08,1.212173657528746,2.078181300834712,2.3022827610580547,False,complex_unsupported
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,True,ridge_filter_d31,31,imag,1e-08,3.1910461134740955,2.6313856712339527,3.6463716390926937,False,complex_unsupported
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,True,ridge_filter_d255,255,imag,1e-06,2.6083452283777513,1.984210019696393,2.860595108464472,False,complex_unsupported
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,True,monomial_x1,1,neg_imag,1e-08,0.8453508900048503,0.6788210211548585,0.7488414920361763,False,complex_unsupported
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,True,monomial_x3,3,imag,1e-08,1.2821405064950295,1.5206534267007636,2.00201415248883,False,complex_unsupported
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d7,7,imag,1e-08,2.418609969855888,1.969571542313949,2.3076596780294025,False,complex_unsupported
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d31,31,imag,1e-08,1.3226380927908952,0.9676576435492751,1.0633784111518276,False,complex_unsupported
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,True,ridge_filter_d255,255,imag,1e-06,0.4534111585254928,0.8502206255551354,0.7384125450317968,False,complex_unsupported
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422535,False,True,monomial_x1,1,neg_imag,1e-08,1.2372065024936447,0.8395414444986963,0.8905036260492327,False,complex_unsupported
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422535,False,True,monomial_x3,3,imag,1e-08,1.2011511538830313,2.257032823968316,2.2574629778789204,False,complex_unsupported
