shots,n_seeds,total_shots,aggregate_y_estimate,aggregate_y_std,empirical_variance,theoretical_variance_per_shot,y_statevector,y_ridge,aggregate_relative_ci_half_width,meets_precision_target
10000,6,60000,0.004700606056409811,0.0001159409753030242,1.3442309754216468e-08,5.881259465896806e-08,0.004936899738471392,0.004938350292269935,0.1011200755552749,False
100000,6,600000,0.004905937900467445,0.00013926320217710206,1.9394239480620406e-08,5.8812594658968065e-09,0.004936899738471392,0.004938350292269935,0.03063861960431764,True
1000000,6,6000000,0.00492721354634228,3.065123652256213e-05,9.394983003620468e-10,5.881259465896807e-10,0.004936899738471392,0.004938350292269935,0.009646946191983117,True
