lambda,degree,matrix_shape,beta,s_min,condition,C_global,global_max_abs,phase_count,convention_block_error_vs_exact_svd,rmse_ratio,postselection_probability_est,qubits,status
0.001,31,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,17.67829268355137,17.67829268355137,32,1.0359908519709737e-14,8.901407334697655,0.13556434593658606,9,APPLICATION_FAILED
0.001,63,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,18.045728569919536,18.045728569919536,64,1.4152376455618773e-14,3.938044823140531,0.027737641393729046,9,APPLICATION_FAILED
0.001,127,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,16.120771409608032,16.120771409608032,128,1.1827730416345794e-14,1.0593267895488359,0.020781765865044443,9,STATEVECTOR_PASSED
0.001,255,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,15.807498173734965,15.807498173734965,256,1.840940273113282e-14,1.0000017419700216,0.022232292737602074,9,STATEVECTOR_PASSED
0.0001,31,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,40.45825919811318,40.45825919811318,32,1.5583581806758235e-14,78.62569228282935,0.2144662309395931,9,APPLICATION_FAILED
0.0001,63,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,48.82209878102575,48.82209878102575,64,3.9408231877242195e-14,65.52122732164547,0.0927634241926926,9,APPLICATION_FAILED
0.0001,127,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,51.74245558975079,51.74245558975079,128,7.549067767728723e-14,19.5157095562768,0.00856326594605786,9,APPLICATION_FAILED
0.0001,255,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,48.942998502993085,48.942998502993085,256,2.5697486741558314e-14,1.0356537229419547,0.0027002844179045255,9,STATEVECTOR_PASSED
1e-05,31,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,56.16297356248242,56.16297356248242,32,1.713403349500909e-14,482.66761346774047,0.20771207998733499,9,APPLICATION_FAILED
1e-05,63,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,66.40723701166118,66.40723701166118,64,4.610060757751566e-14,453.54951626997797,0.12230230958815713,9,APPLICATION_FAILED
1e-05,127,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,75.3830447132261,75.3830447132261,128,1.0536533223304306e-13,160.22268679019317,0.012136451850306589,9,APPLICATION_FAILED
1e-05,255,172x59,4669.148316067333,0.012659247297200953,78.99363813053142,74.37479967201054,74.37479967201054,256,4.657176867921655e-14,3.234027091895656,0.0012166647628079343,9,APPLICATION_FAILED
