shots,backend_seed,backend,mu_exact,mu_shot,y_shot,y_statevector,y_ridge,ci_low,ci_high,ci_half_width,relative_ci_half_width,theoretical_se_y,execution_time_s,ci_contains_statevector,ci_contains_ridge,transpiler_seed,n_seeds,total_shots,aggregate_y_estimate,aggregate_y_std,empirical_variance,theoretical_variance_per_shot,aggregate_relative_ci_half_width,meets_precision_target,_row_type
10000,770300.0,aer:AerSimulator,0.19948104827497692,0.18179999999999996,0.004499316502572676,0.004936899738471392,0.004938350292269935,0.004023990862992933,0.004974642142152419,0.0004753256395797429,0.10564396599082444,0.0002425130814182362,0.34422462503425777,True,True,770300.0,,,,,,,,,
10000,770301.0,aer:AerSimulator,0.19948104827497692,0.19199999999999995,0.004751753402056951,0.004936899738471392,0.004938350292269935,0.004276427762477208,0.005227079041636694,0.0004753256395797429,0.10003163029756189,0.0002425130814182362,0.06092637503752485,True,True,770301.0,,,,,,,,,
10000,770302.0,aer:AerSimulator,0.19948104827497692,0.19419999999999993,0.00480620057645552,0.004936899738471392,0.004938350292269935,0.004330874936875777,0.0052815262160352625,0.0004753256395797429,0.09889841924372753,0.0002425130814182362,0.06145670899422839,True,True,770302.0,,,,,,,,,
10000,770303.0,aer:AerSimulator,0.19948104827497692,0.18979999999999997,0.004697306227658382,0.004936899738471392,0.004938350292269935,0.004221980588078639,0.005172631867238125,0.0004753256395797429,0.10119111178678548,0.0002425130814182362,0.059887457988224924,True,True,770303.0,,,,,,,,,
10000,770304.0,aer:AerSimulator,0.19948104827497692,0.18779999999999997,0.004647808796386955,0.004936899738471392,0.004938350292269935,0.0041724831568072124,0.005123134435966698,0.0004753256395797429,0.10226875940964794,0.0002425130814182362,0.08418087504105642,True,True,770304.0,,,,,,,,,
10000,770305.0,aer:AerSimulator,0.19948104827497692,0.19399999999999995,0.004801250833328378,0.004936899738471392,0.004938350292269935,0.004325925193748635,0.0052765764729081205,0.0004753256395797429,0.09900037637696847,0.0002425130814182362,0.061279957997612655,True,True,770305.0,,,,,,,,,
10000,,,,,,0.004936899738471392,0.004938350292269935,,,,,,,,,,6.0,60000.0,0.004700606056409811,0.0001159409753030242,1.3442309754216468e-08,5.881259465896806e-08,0.1011200755552749,False,aggregate
100000,770300.0,aer:AerSimulator,0.19948104827497692,0.19291999999999998,0.004774522220441808,0.004936899738471392,0.004938350292269935,0.004624211055306981,0.004924833385576635,0.0001503111651348268,0.031481928074662484,7.668936996674837e-05,0.07703595800558105,False,False,770300.0,,,,,,,,,
100000,770301.0,aer:AerSimulator,0.19948104827497692,0.20404,0.00504972793831094,0.004936899738471392,0.004938350292269935,0.004899416773176113,0.005200039103445767,0.0001503111651348268,0.029766190767319574,7.668936996674837e-05,0.0713284169905819,True,True,770301.0,,,,,,,,,
100000,770302.0,aer:AerSimulator,0.19948104827497692,0.19829999999999992,0.004907670310561944,0.004936899738471392,0.004938350292269935,0.004757359145427117,0.005057981475696771,0.0001503111651348268,0.030627804156146687,7.668936996674837e-05,0.07421208295272663,True,True,770302.0,,,,,,,,,
