seed,dim,rows,cols,rank,spectral_family,condition_number,sv_assignment_matches_svd,is_complex,target,degree,component,tolerance,convention_error_vs_encoded,end_to_end_error_vs_target,status
770100,3x2,3,2,2,well_conditioned,1.1111111111111112,False,False,ridge_filter_d7,7,imag,1e-08,3.068449068866556e-15,2.546269837837186e-08,pass
770100,3x2,3,2,2,well_conditioned,1.1111111111111112,False,False,ridge_filter_d31,31,imag,1e-08,6.727125542584261e-15,1.63236463216979e-09,pass
770100,3x2,3,2,2,well_conditioned,1.1111111111111112,False,False,ridge_filter_d255,255,imag,1e-06,1.9622166087755958e-14,2.471775158002903e-10,pass
770101,3x2,3,2,2,moderate_condition,3.3333333333333317,False,False,monomial_x1,1,neg_imag,1e-08,1.063400795443851e-16,1.2388619266919163e-13,pass
770101,3x2,3,2,2,moderate_condition,3.3333333333333317,False,False,monomial_x3,3,imag,1e-08,4.4392742778210797e-16,1.3029270005403072e-13,pass
770101,3x2,3,2,2,moderate_condition,3.3333333333333317,False,False,ridge_filter_d7,7,imag,1e-08,1.0770335092563312e-15,1.2269312662321844e-06,pass
770101,3x2,3,2,2,moderate_condition,3.3333333333333317,False,False,ridge_filter_d31,31,imag,1e-08,5.39209492502719e-15,1.6431975642879285e-07,pass
770101,3x2,3,2,2,moderate_condition,3.3333333333333317,False,False,ridge_filter_d255,255,imag,1e-06,3.584581918976389e-14,6.241817168712605e-08,pass
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333277,False,False,monomial_x1,1,neg_imag,1e-08,2.220445949330553e-16,9.636735420093274e-14,pass
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333277,False,False,monomial_x3,3,imag,1e-08,7.771561172377166e-16,9.581224702515101e-14,pass
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333277,False,False,ridge_filter_d7,7,imag,1e-08,1.6936010361447925e-15,3.3487656216491216e-09,pass
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333277,False,False,ridge_filter_d31,31,imag,1e-08,8.313596253884658e-15,3.011497037436083e-08,pass
770102,3x2,3,2,2,nearly_rank_deficient,3333.333333333277,False,False,ridge_filter_d255,255,imag,1e-06,6.346588747264866e-14,2.314888752729975e-08,pass
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,False,monomial_x1,1,neg_imag,1e-08,1.6653345369379646e-16,1.1757261830780413e-13,pass
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,False,monomial_x3,3,imag,1e-08,1.6653345369379646e-16,1.1779466291272916e-13,pass
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,False,ridge_filter_d7,7,imag,1e-08,5.8625112478664946e-15,4.820287026023569e-15,pass
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,False,ridge_filter_d31,31,imag,1e-08,1.560453422844975e-14,3.2580895641817688e-15,pass
770103,3x2,3,2,2,exact_zero_singular_values,inf,True,False,ridge_filter_d255,255,imag,1e-06,7.288610684575795e-15,5.228176510281889e-14,pass
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,False,monomial_x1,1,neg_imag,1e-08,2.2429892266914165e-16,6.846724614474607e-14,pass
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,False,monomial_x3,3,imag,1e-08,2.1457167347176185e-16,8.365434309751021e-14,pass
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,False,ridge_filter_d7,7,imag,1e-08,9.486719163805588e-16,1.9216513788531303e-07,pass
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,False,ridge_filter_d31,31,imag,1e-08,3.0659241817707446e-15,4.76278249667856e-09,pass
770104,3x2,3,2,2,repeated_singular_values,1.0000000000000002,True,False,ridge_filter_d255,255,imag,1e-06,1.8434558839010475e-14,2.328379628590851e-09,pass
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422528,False,False,monomial_x1,1,neg_imag,1e-08,2.1958798176867272e-16,9.211715835194554e-14,pass
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422528,False,False,monomial_x3,3,imag,1e-08,2.1469299409767888e-16,1.1164035693077459e-13,pass
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422528,False,False,ridge_filter_d7,7,imag,1e-08,3.951325912771878e-16,8.622282505716131e-08,pass
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422528,False,False,ridge_filter_d31,31,imag,1e-08,1.1529265923632953e-15,8.084274954436266e-09,pass
770105,3x2,3,2,2,clustered_singular_values,1.0140845070422528,False,False,ridge_filter_d255,255,imag,1e-06,7.939957168849585e-15,2.521972611463308e-09,pass
770106,3x2,3,2,2,random_decay,2.6266742023477674,True,False,monomial_x1,1,neg_imag,1e-08,1.2285671205853772e-16,1.0872819017179091e-13,pass
770106,3x2,3,2,2,random_decay,2.6266742023477674,True,False,monomial_x3,3,imag,1e-08,3.680611630300576e-16,1.2477273426717084e-13,pass
770106,3x2,3,2,2,random_decay,2.6266742023477674,True,False,ridge_filter_d7,7,imag,1e-08,8.659976563743828e-16,9.641953539032401e-07,pass
770106,3x2,3,2,2,random_decay,2.6266742023477674,True,False,ridge_filter_d31,31,imag,1e-08,1.5976208280548112e-15,8.346138942218965e-08,pass
770106,3x2,3,2,2,random_decay,2.6266742023477674,True,False,ridge_filter_d255,255,imag,1e-06,1.1855684226825772e-14,2.717042143328016e-08,pass
770200,4x3,4,3,3,well_conditioned,1.1111111111111112,False,False,monomial_x1,1,neg_imag,1e-08,4.044609585378556e-16,6.976951534777049e-14,pass
770200,4x3,4,3,3,well_conditioned,1.1111111111111112,False,False,monomial_x3,3,imag,1e-08,7.374442895332102e-16,7.470310652970363e-14,pass
770200,4x3,4,3,3,well_conditioned,1.1111111111111112,False,False,ridge_filter_d7,7,imag,1e-08,4.706630248282019e-15,2.863721767936268e-08,pass
770200,4x3,4,3,3,well_conditioned,1.1111111111111112,False,False,ridge_filter_d31,31,imag,1e-08,2.4921418147246623e-15,9.677240621506007e-10,pass
770200,4x3,4,3,3,well_conditioned,1.1111111111111112,False,False,ridge_filter_d255,255,imag,1e-06,1.9918751224416314e-14,1.643353777418947e-10,pass
