case,degree,lambda,convention_block_error_vs_exact_svd,rmse_ratio,postselection_probability_est,output,y_qsvt,y_ridge,y_exact_svd,selected_rel_err_vs_exact,selected_rel_err_vs_ridge
ieee14,255,1e-05,1.5581836336167246e-14,1.0037785040059186,0.0028555410727954477,"theta_2 (bus 2 angle, non-slack)",0.004936899738471392,0.004938350292269933,0.004936899738472732,2.7144036868908455e-13,0.00029373246381722123
ieee14,255,1e-05,1.5581836336167246e-14,1.0037785040059186,0.0028555410727954477,V_1 (bus 1 voltage magnitude),0.0034201087031567605,0.0034203329736380997,0.0034201087031566595,2.9545155211699854e-14,6.556978021372502e-05
ieee14,255,1e-05,1.5581836336167246e-14,1.0037785040059186,0.0028555410727954477,"area_aggregate_angle (buses 12,13,14 mean)",0.0004060824749066382,0.00040551512371780115,0.0004060824749068542,5.318453420297236e-13,0.0013990876188180721
