setting,method,true_amplitude,estimate,abs_error,oracle_calls,shots,note
controlled_aer_executed,MLAE,0.3,0.30019,0.00019004502251129818,8400,1200,"EXECUTED on Aer; Grover powers {0,1,2,3,4,8}, 200 shots each"
controlled_aer_executed,direct_sampling,0.3,0.2855,0.014499999999999957,0,2000,EXECUTED on Aer; plain measurement sampling
controlled_aer_executed,MLAE,0.1,0.10163,0.0016304652326162988,8400,1200,"EXECUTED on Aer; Grover powers {0,1,2,3,4,8}, 200 shots each"
controlled_aer_executed,direct_sampling,0.1,0.088,0.01200000000000001,0,2000,EXECUTED on Aer; plain measurement sampling
