sweep_name,sweep_parameter,sweep_value,estimator,n_trials,n_successful_trials,n_failed_trials,failed_count,failure_rate,rmse_mean,rmse_std,rmse_median,rmse_q1,rmse_q3,rmse_iqr,rmse_ci95_low,rmse_ci95_high,angle_rmse_mean,angle_rmse_std,angle_rmse_median,angle_rmse_q1,angle_rmse_q3,angle_rmse_iqr,angle_rmse_ci95_low,angle_rmse_ci95_high,voltage_magnitude_rmse_mean,voltage_magnitude_rmse_std,voltage_magnitude_rmse_median,voltage_magnitude_rmse_q1,voltage_magnitude_rmse_q3,voltage_magnitude_rmse_iqr,voltage_magnitude_rmse_ci95_low,voltage_magnitude_rmse_ci95_high,residual_norm_mean,residual_norm_std,residual_norm_median,residual_norm_q1,residual_norm_q3,residual_norm_iqr,residual_norm_ci95_low,residual_norm_ci95_high,weighted_residual_mean,weighted_residual_std,weighted_residual_median,weighted_residual_q1,weighted_residual_q3,weighted_residual_iqr,weighted_residual_ci95_low,weighted_residual_ci95_high,condition_number_mean,condition_number_std,condition_number_median,condition_number_q1,condition_number_q3,condition_number_iqr,condition_number_ci95_low,condition_number_ci95_high,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_q1,runtime_seconds_q3,runtime_seconds_iqr,runtime_seconds_ci95_low,runtime_seconds_ci95_high
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,huber_irls,10,10,0,0,0.0,0.0979786576734902,0.24024987359690295,0.012900010697911626,0.006842363799914866,0.03409259812981634,0.027250234329901472,-0.05092975672072736,0.24688707206770777,0.0069165800938953805,0.012369033933263945,0.0030791117032052387,0.0019756364952988837,0.0034759640300044206,0.0015003275347055369,-0.0007498265643695575,0.01458298675216032,0.137470627742898,0.3396197067088128,0.018144566495853907,0.009499908043958711,0.047703096279827606,0.03820318823586889,-0.07302784730683229,0.34796910279262827,1.1059726481016945,0.393344783254871,1.0369845674242375,0.8053067588050471,1.1685326282747768,0.3632258694697297,0.8621750256188867,1.3497702705845023,1.1059726481016945,0.393344783254871,1.0369845674242375,0.8053067588050471,1.1685326282747768,0.3632258694697297,0.8621750256188867,1.3497702705845023,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.14672310839960118,0.05405985066332009,0.12426933350070613,0.12093647874644375,0.13886912524867512,0.017932646502231364,0.11321646581892864,0.18022975098027372
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,pseudoinverse,10,10,0,0,0.0,0.09797865767348804,0.24024987359689937,0.012900010697904939,0.006842363799914622,0.03409259812981635,0.027250234329901726,-0.050929756720727304,0.24688707206770338,0.00691658009389938,0.012369033933259835,0.0030791117032053185,0.0019756364952984874,0.0034759640300408177,0.0015003275347423304,-0.0007498265643630106,0.01458298675216177,0.13747062774289528,0.3396197067088076,0.018144566495844415,0.0094999080439584,0.04770309627982764,0.03820318823586924,-0.07302784730683176,0.34796910279262233,1.105972648101693,0.39334478325486527,1.0369845674242164,0.8053067588050521,1.168532628274776,0.363225869469724,0.8621750256188887,1.3497702705844972,1.105972648101693,0.39334478325486527,1.0369845674242164,0.8053067588050521,1.168532628274776,0.363225869469724,0.8621750256188887,1.3497702705844972,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.14268442499887896,0.01763451586349078,0.13405854199663736,0.1303855525002291,0.15402472900132125,0.023639176501092152,0.1317544388285306,0.1536144111692273
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,qsvt_regularized,10,10,0,0,0.0,0.08914747048483596,0.22797260299052893,0.00905649328923619,0.0065876691126272435,0.01908596884528627,0.012498299732659026,-0.05215141275037144,0.23044635372004335,0.0037642976028107664,0.004726098217692136,0.0024753447888655245,0.0018629368188982014,0.003121339926546108,0.0012584031076479066,0.0008350315793511573,0.006693563626270375,0.12557725173805895,0.32224395036463965,0.012691327876831618,0.009141668142874681,0.02683436137459449,0.017692693231719805,-0.0741516179529926,0.32530612142911053,1.1060903674551539,0.39325084127434695,1.0369845994050322,0.8055982262654062,1.1685377012919838,0.36293947502657753,0.8623509708151134,1.3498297640951944,1.1060903674551539,0.39325084127434695,1.0369845994050322,0.8055982262654062,1.1685377012919838,0.36293947502657753,0.8623509708151134,1.3498297640951944,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.0896061125000415,0.024055137736061792,0.079639291499916,0.07496184375304438,0.08935992725128017,0.014398083498235792,0.07469658366373727,0.10451564133634572
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,ridge,10,10,0,0,0.0,0.08914747048483596,0.22797260299052893,0.00905649328923619,0.0065876691126272435,0.01908596884528627,0.012498299732659026,-0.05215141275037144,0.23044635372004335,0.0037642976028107664,0.004726098217692136,0.0024753447888655245,0.0018629368188982014,0.003121339926546108,0.0012584031076479066,0.0008350315793511573,0.006693563626270375,0.12557725173805895,0.32224395036463965,0.012691327876831618,0.009141668142874681,0.02683436137459449,0.017692693231719805,-0.0741516179529926,0.32530612142911053,1.1060903674551539,0.39325084127434695,1.0369845994050322,0.8055982262654062,1.1685377012919838,0.36293947502657753,0.8623509708151134,1.3498297640951944,1.1060903674551539,0.39325084127434695,1.0369845994050322,0.8055982262654062,1.1685377012919838,0.36293947502657753,0.8623509708151134,1.3498297640951944,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.08614535429951502,0.011766372528370643,0.08131410450005205,0.07761626049796178,0.0933384902527905,0.01572222975482873,0.07885248104992867,0.09343822754910136
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.0,truncated_svd,10,10,0,0,0.0,0.09797865767348793,0.240249873596899,0.012900010697904935,0.006842363799914627,0.034092598129816326,0.027250234329901698,-0.05092975672072719,0.24688707206770305,0.006916580093899378,0.012369033933259829,0.0030791117032053193,0.001975636495298488,0.0034759640300408186,0.0015003275347423308,-0.000749826564363008,0.014582986752161764,0.13747062774289515,0.33961970670880715,0.018144566495844415,0.009499908043958406,0.04770309627982761,0.038203188235869205,-0.07302784730683162,0.34796910279262194,1.1059726481016934,0.3933447832548632,1.0369845674242064,0.8053067588050588,1.168532628274793,0.36322586946973423,0.8621750256188905,1.3497702705844963,1.1059726481016934,0.3933447832548632,1.0369845674242064,0.8053067588050588,1.168532628274793,0.36322586946973423,0.8621750256188905,1.3497702705844963,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.1053387000982184,0.06412788805366325,0.08138204149872763,0.07706641724689689,0.09244070824752271,0.015374291000625817,0.06559182329218632,0.14508557690425047
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,huber_irls,10,10,0,0,0.0,1.5513786846832454,3.121976928334174,0.10498693492289046,0.032799151459946475,0.26114714910821146,0.228347997648265,-0.38364266293907656,3.4864000323055673,0.3000788797216397,0.4270978323438537,0.09898179065792734,0.017998384651236383,0.3292942973476428,0.31129591269640644,0.035360900671887296,0.5647968587713921,2.130339176144573,4.413200462249632,0.09523724754268746,0.031811276406010655,0.1913012499651313,0.15948997355912065,-0.6049908092523149,4.865669161541461,4.010124154256571,1.4961107331041847,4.330992045085043,3.269275502229653,4.858770230024755,1.5894947277951017,3.0828251147636054,4.937423193749537,4.010124154256571,1.4961107331041847,4.330992045085043,3.269275502229653,4.858770230024755,1.5894947277951017,3.0828251147636054,4.937423193749537,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.5250815166989924,0.17933837373127723,0.5991353544995945,0.5426255104957818,0.6351594162515539,0.09253390575577214,0.41392644105816867,0.6362365923398161
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,pseudoinverse,10,10,0,0,0.0,1.472942456504632,2.8218073363951044,0.1264868674791172,0.046644163816778085,0.4857152623568869,0.4390710985401088,-0.27603185052693746,3.2219167635362016,0.32674896229669614,0.39823039708899033,0.14102844455922217,0.02753756654551437,0.5545046944058925,0.526967127860378,0.07992320498705477,0.5735747196063375,1.9964362629669388,4.000868456944682,0.09182463253869168,0.03241605385400746,0.405765791759365,0.3733497379053575,-0.4833276977960874,4.476200223729965,3.856564675409209,1.424660643471437,4.113193793103185,3.1568153687469747,4.6175601802736335,1.4607448115266588,2.973550860279726,4.739578490538692,3.856564675409209,1.424660643471437,4.113193793103185,3.1568153687469747,4.6175601802736335,1.4607448115266588,2.973550860279726,4.739578490538692,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.1289021916993079,0.008896669998771294,0.12687383349839365,0.12566992700158153,0.1286025522476848,0.002932625246103271,0.12338797850505497,0.1344164048935608
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,qsvt_regularized,10,10,0,0,0.0,0.808128332167108,1.4990075695737135,0.12116135023617196,0.03138849889194074,0.48118710378541857,0.44979860489347784,-0.12096618517139723,1.7372228495056132,0.2267254515330658,0.2536818888313744,0.1410154734618118,0.01903157215517229,0.32026028915617183,0.3012287170009995,0.06949178784427423,0.3839591152218574,1.062511723329869,2.135409730049098,0.0804623489409103,0.030429351295420962,0.39934973397792656,0.3689203826825056,-0.26102893965965945,2.3860523863193976,3.8900663773610566,1.3662553910559039,4.113194681513063,3.156815876660275,4.6175764902708485,1.4607606136105735,3.0432525127218,4.736880242000313,3.8900663773610566,1.3662553910559039,4.113194681513063,3.156815876660275,4.6175764902708485,1.4607606136105735,3.0432525127218,4.736880242000313,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.07514405840047403,0.0020624023219519136,0.07564647950130166,0.07349635450009373,0.07665570824974566,0.0031593537496519275,0.07386576819783239,0.07642234860311567
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,ridge,10,10,0,0,0.0,0.808128332167108,1.4990075695737135,0.12116135023617196,0.03138849889194074,0.48118710378541857,0.44979860489347784,-0.12096618517139723,1.7372228495056132,0.2267254515330658,0.2536818888313744,0.1410154734618118,0.01903157215517229,0.32026028915617183,0.3012287170009995,0.06949178784427423,0.3839591152218574,1.062511723329869,2.135409730049098,0.0804623489409103,0.030429351295420962,0.39934973397792656,0.3689203826825056,-0.26102893965965945,2.3860523863193976,3.8900663773610566,1.3662553910559039,4.113194681513063,3.156815876660275,4.6175764902708485,1.4607606136105735,3.0432525127218,4.736880242000313,3.8900663773610566,1.3662553910559039,4.113194681513063,3.156815876660275,4.6175764902708485,1.4607606136105735,3.0432525127218,4.736880242000313,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.0751055707980413,0.002708471236093732,0.07491785399906803,0.07323322925185494,0.07705068749783095,0.003817458245976013,0.07342684293375216,0.07678429866233043
real_bad_data_ratio_sweep,scenario.bad_data.ratio,0.05,truncated_svd,10,10,0,0,0.0,1.4729424565046316,2.821807336395104,0.12648686747911708,0.04664416381677805,0.4857152623568868,0.43907109854010873,-0.2760318505269377,3.2219167635362007,0.32674896229669603,0.3982303970889902,0.14102844455922203,0.027537566545514352,0.5545046944058922,0.5269671278603779,0.07992320498705474,0.5735747196063373,1.9964362629669388,4.000868456944682,0.0918246325386917,0.032416053854007476,0.4057657917593648,0.3733497379053573,-0.4833276977960874,4.476200223729965,3.85656467540921,1.4246606434714315,4.1131937931031715,3.1568153687469716,4.617560180273651,1.4607448115266797,2.97355086027973,4.7395784905386895,3.85656467540921,1.4246606434714315,4.1131937931031715,3.1568153687469716,4.617560180273651,1.4607448115266797,2.97355086027973,4.7395784905386895,4.2419845325712113e+18,2.615899175736839e+18,4.705539654593432e+18,1.7289215360953137e+18,6.585706748432247e+18,4.856785212336933e+18,2.6206334257328563e+18,5.863335639409566e+18,0.07466290420052246,0.0033279663894211823,0.07463987500523217,0.07234042700292775,0.07691139624876087,0.004570969245833112,0.07260020926217912,0.0767255991388658
